146:	test: 0.8028586	best: 0.8028725 (141)	total: 4.22s	remaining: 24.5s
147:	test: 0.8028803	best: 0.8028803 (147)	total: 4.24s	remaining: 24.4s
148:	test: 0.8029005	best: 0.8029005 (148)	total: 4.27s	remaining: 24.4s
149:	test: 0.8028924	best: 0.8029005 (148)	total: 4.3s	remaining: 24.4s
150:	test: 0.8028924	best: 0.8029005 (148)	total: 4.32s	remaining: 24.3s
151:	test: 0.8029358	best: 0.8029358 (151)	total: 4.34s	remaining: 24.2s
152:	test: 0.8029506	best: 0.8029506 (152)	total: 4.37s	remaining: 24.2s
153:	test: 0.8029554	best: 0.8029554 (153)	total: 4.4s	remaining: 24.2s
154:	test: 0.8029553	best: 0.8029554 (153)	total: 4.42s	remaining: 24.1s
155:	test: 0.8029971	best: 0.8029971 (155)	total: 4.45s	remaining: 24s
156:	test: 0.8029971	best: 0.8029971 (155)	total: 4.46s	remaining: 24s
157:	test: 0.8029970	best: 0.8029971 (155)	total: 4.48s	remaining: 23.9s
158:	test: 0.8029969	best: 0.8029971 (155)	total: 4.5s	remaining: 23.8s
159:	test: 0.8030221	best: 0.8030221 (159)	total: 4.53s	remaining: 23.8s
160:	test: 0.8030226	best: 0.8030226 (160)	total: 4.55s	remaining: 23.7s
161:	test: 0.8030258	best: 0.8030258 (161)	total: 4.58s	remaining: 23.7s
162:	test: 0.8030257	best: 0.8030258 (161)	total: 4.6s	remaining: 23.6s
163:	test: 0.8030257	best: 0.8030258 (161)	total: 4.63s	remaining: 23.6s
164:	test: 0.8030770	best: 0.8030770 (164)	total: 4.66s	remaining: 23.6s
165:	test: 0.8031030	best: 0.8031030 (165)	total: 4.68s	remaining: 23.5s
166:	test: 0.8030953	best: 0.8031030 (165)	total: 4.71s	remaining: 23.5s
167:	test: 0.8030664	best: 0.8031030 (165)	total: 4.73s	remaining: 23.4s
168:	test: 0.8030616	best: 0.8031030 (165)	total: 4.76s	remaining: 23.4s
169:	test: 0.8030689	best: 0.8031030 (165)	total: 4.79s	remaining: 23.4s
170:	test: 0.8030689	best: 0.8031030 (165)	total: 4.81s	remaining: 23.3s
171:	test: 0.8030696	best: 0.8031030 (165)	total: 4.83s	remaining: 23.3s
172:	test: 0.8030836	best: 0.8031030 (165)	total: 4.86s	remaining: 23.2s
173:	test: 0.8030834	best: 0.8031030 (165)	total: 4.88s	remaining: 23.2s
174:	test: 0.8030770	best: 0.8031030 (165)	total: 4.91s	remaining: 23.1s
175:	test: 0.8031016	best: 0.8031030 (165)	total: 4.93s	remaining: 23.1s
176:	test: 0.8031062	best: 0.8031062 (176)	total: 4.96s	remaining: 23.1s
177:	test: 0.8031448	best: 0.8031448 (177)	total: 4.99s	remaining: 23s
178:	test: 0.8031388	best: 0.8031448 (177)	total: 5.01s	remaining: 23s
179:	test: 0.8031378	best: 0.8031448 (177)	total: 5.04s	remaining: 23s
180:	test: 0.8031460	best: 0.8031460 (180)	total: 5.07s	remaining: 22.9s
181:	test: 0.8031804	best: 0.8031804 (181)	total: 5.1s	remaining: 22.9s
182:	test: 0.8031938	best: 0.8031938 (182)	total: 5.13s	remaining: 22.9s
183:	test: 0.8031935	best: 0.8031938 (182)	total: 5.16s	remaining: 22.9s
184:	test: 0.8031935	best: 0.8031938 (182)	total: 5.18s	remaining: 22.8s
185:	test: 0.8031966	best: 0.8031966 (185)	total: 5.21s	remaining: 22.8s
186:	test: 0.8031924	best: 0.8031966 (185)	total: 5.23s	remaining: 22.7s
187:	test: 0.8031926	best: 0.8031966 (185)	total: 5.25s	remaining: 22.7s
188:	test: 0.8031929	best: 0.8031966 (185)	total: 5.28s	remaining: 22.6s
189:	test: 0.8031911	best: 0.8031966 (185)	total: 5.3s	remaining: 22.6s
190:	test: 0.8031912	best: 0.8031966 (185)	total: 5.33s	remaining: 22.6s
191:	test: 0.8031965	best: 0.8031966 (185)	total: 5.35s	remaining: 22.5s
192:	test: 0.8032213	best: 0.8032213 (192)	total: 5.38s	remaining: 22.5s
193:	test: 0.8032226	best: 0.8032226 (193)	total: 5.41s	remaining: 22.5s
194:	test: 0.8032265	best: 0.8032265 (194)	total: 5.44s	remaining: 22.5s
195:	test: 0.8032264	best: 0.8032265 (194)	total: 5.47s	remaining: 22.4s
196:	test: 0.8032633	best: 0.8032633 (196)	total: 5.49s	remaining: 22.4s
197:	test: 0.8032633	best: 0.8032633 (196)	total: 5.52s	remaining: 22.4s
198:	test: 0.8032558	best: 0.8032633 (196)	total: 5.55s	remaining: 22.3s
199:	test: 0.8032983	best: 0.8032983 (199)	total: 5.57s	remaining: 22.3s
200:	test: 0.8032986	best: 0.8032986 (200)	total: 5.6s	remaining: 22.2s
201:	test: 0.8033019	best: 0.8033019 (201)	total: 5.62s	remaining: 22.2s
202:	test: 0.8033556	best: 0.8033556 (202)	total: 5.65s	remaining: 22.2s
203:	test: 0.8033553	best: 0.8033556 (202)	total: 5.68s	remaining: 22.1s
204:	test: 0.8033565	best: 0.8033565 (204)	total: 5.7s	remaining: 22.1s
205:	test: 0.8033563	best: 0.8033565 (204)	total: 5.72s	remaining: 22s
206:	test: 0.8033619	best: 0.8033619 (206)	total: 5.75s	remaining: 22s
207:	test: 0.8033965	best: 0.8033965 (207)	total: 5.77s	remaining: 22s
208:	test: 0.8033963	best: 0.8033965 (207)	total: 5.8s	remaining: 21.9s
209:	test: 0.8034158	best: 0.8034158 (209)	total: 5.82s	remaining: 21.9s
210:	test: 0.8034158	best: 0.8034158 (209)	total: 5.84s	remaining: 21.8s
211:	test: 0.8034275	best: 0.8034275 (211)	total: 5.87s	remaining: 21.8s
212:	test: 0.8034821	best: 0.8034821 (212)	total: 5.9s	remaining: 21.8s
213:	test: 0.8034806	best: 0.8034821 (212)	total: 5.93s	remaining: 21.8s
214:	test: 0.8034824	best: 0.8034824 (214)	total: 5.96s	remaining: 21.7s
215:	test: 0.8034824	best: 0.8034824 (215)	total: 5.98s	remaining: 21.7s
216:	test: 0.8034619	best: 0.8034824 (215)	total: 6s	remaining: 21.7s
217:	test: 0.8034619	best: 0.8034824 (215)	total: 6.03s	remaining: 21.6s
218:	test: 0.8034758	best: 0.8034824 (215)	total: 6.06s	remaining: 21.6s
219:	test: 0.8034756	best: 0.8034824 (215)	total: 6.08s	remaining: 21.6s
220:	test: 0.8034758	best: 0.8034824 (215)	total: 6.1s	remaining: 21.5s
221:	test: 0.8034756	best: 0.8034824 (215)	total: 6.12s	remaining: 21.5s
222:	test: 0.8034758	best: 0.8034824 (215)	total: 6.15s	remaining: 21.4s
223:	test: 0.8034767	best: 0.8034824 (215)	total: 6.17s	remaining: 21.4s
224:	test: 0.8034752	best: 0.8034824 (215)	total: 6.19s	remaining: 21.3s
225:	test: 0.8034626	best: 0.8034824 (215)	total: 6.22s	remaining: 21.3s
226:	test: 0.8034626	best: 0.8034824 (215)	total: 6.24s	remaining: 21.3s
227:	test: 0.8034626	best: 0.8034824 (215)	total: 6.26s	remaining: 21.2s
228:	test: 0.8034773	best: 0.8034824 (215)	total: 6.29s	remaining: 21.2s
229:	test: 0.8034773	best: 0.8034824 (215)	total: 6.3s	remaining: 21.1s
230:	test: 0.8034826	best: 0.8034826 (230)	total: 6.33s	remaining: 21.1s
231:	test: 0.8034923	best: 0.8034923 (231)	total: 6.36s	remaining: 21s
232:	test: 0.8034743	best: 0.8034923 (231)	total: 6.38s	remaining: 21s
233:	test: 0.8034844	best: 0.8034923 (231)	total: 6.41s	remaining: 21s
234:	test: 0.8034843	best: 0.8034923 (231)	total: 6.43s	remaining: 20.9s
235:	test: 0.8034936	best: 0.8034936 (235)	total: 6.47s	remaining: 20.9s
236:	test: 0.8034938	best: 0.8034938 (236)	total: 6.5s	remaining: 20.9s
237:	test: 0.8035131	best: 0.8035131 (237)	total: 6.52s	remaining: 20.9s
238:	test: 0.8035130	best: 0.8035131 (237)	total: 6.54s	remaining: 20.8s
239:	test: 0.8035112	best: 0.8035131 (237)	total: 6.57s	remaining: 20.8s
240:	test: 0.8035344	best: 0.8035344 (240)	total: 6.6s	remaining: 20.8s
241:	test: 0.8035438	best: 0.8035438 (241)	total: 6.63s	remaining: 20.8s
242:	test: 0.8035549	best: 0.8035549 (242)	total: 6.65s	remaining: 20.7s
243:	test: 0.8035601	best: 0.8035601 (243)	total: 6.68s	remaining: 20.7s
244:	test: 0.8035600	best: 0.8035601 (243)	total: 6.7s	remaining: 20.7s
245:	test: 0.8035600	best: 0.8035601 (243)	total: 6.73s	remaining: 20.6s
246:	test: 0.8035604	best: 0.8035604 (246)	total: 6.75s	remaining: 20.6s
247:	test: 0.8035645	best: 0.8035645 (247)	total: 6.78s	remaining: 20.6s
248:	test: 0.8035645	best: 0.8035645 (248)	total: 6.8s	remaining: 20.5s
249:	test: 0.8035645	best: 0.8035645 (248)	total: 6.82s	remaining: 20.5s
250:	test: 0.8035612	best: 0.8035645 (248)	total: 6.85s	remaining: 20.4s
251:	test: 0.8035610	best: 0.8035645 (248)	total: 6.87s	remaining: 20.4s
252:	test: 0.8035797	best: 0.8035797 (252)	total: 6.9s	remaining: 20.4s
253:	test: 0.8035861	best: 0.8035861 (253)	total: 6.93s	remaining: 20.3s
254:	test: 0.8035860	best: 0.8035861 (253)	total: 6.95s	remaining: 20.3s
255:	test: 0.8035964	best: 0.8035964 (255)	total: 6.97s	remaining: 20.3s
256:	test: 0.8036185	best: 0.8036185 (256)	total: 7s	remaining: 20.2s
257:	test: 0.8036185	best: 0.8036185 (257)	total: 7.02s	remaining: 20.2s
258:	test: 0.8036184	best: 0.8036185 (257)	total: 7.04s	remaining: 20.2s
259:	test: 0.8036172	best: 0.8036185 (257)	total: 7.07s	remaining: 20.1s
260:	test: 0.8036172	best: 0.8036185 (257)	total: 7.09s	remaining: 20.1s
261:	test: 0.8036191	best: 0.8036191 (261)	total: 7.12s	remaining: 20s
262:	test: 0.8036197	best: 0.8036197 (262)	total: 7.14s	remaining: 20s
263:	test: 0.8036197	best: 0.8036197 (262)	total: 7.16s	remaining: 20s
264:	test: 0.8036197	best: 0.8036197 (264)	total: 7.18s	remaining: 19.9s
265:	test: 0.8036197	best: 0.8036197 (264)	total: 7.2s	remaining: 19.9s
266:	test: 0.8036129	best: 0.8036197 (264)	total: 7.22s	remaining: 19.8s
267:	test: 0.8036129	best: 0.8036197 (264)	total: 7.24s	remaining: 19.8s
268:	test: 0.8036128	best: 0.8036197 (264)	total: 7.26s	remaining: 19.7s
269:	test: 0.8036248	best: 0.8036248 (269)	total: 7.29s	remaining: 19.7s
270:	test: 0.8036248	best: 0.8036248 (269)	total: 7.31s	remaining: 19.7s
271:	test: 0.8036561	best: 0.8036561 (271)	total: 7.33s	remaining: 19.6s
272:	test: 0.8036561	best: 0.8036561 (272)	total: 7.35s	remaining: 19.6s
273:	test: 0.8036615	best: 0.8036615 (273)	total: 7.38s	remaining: 19.6s
274:	test: 0.8036716	best: 0.8036716 (274)	total: 7.41s	remaining: 19.5s
275:	test: 0.8036825	best: 0.8036825 (275)	total: 7.43s	remaining: 19.5s
276:	test: 0.8036993	best: 0.8036993 (276)	total: 7.46s	remaining: 19.5s
277:	test: 0.8036993	best: 0.8036993 (276)	total: 7.48s	remaining: 19.4s
278:	test: 0.8036994	best: 0.8036994 (278)	total: 7.5s	remaining: 19.4s
279:	test: 0.8036993	best: 0.8036994 (278)	total: 7.52s	remaining: 19.3s
280:	test: 0.8036822	best: 0.8036994 (278)	total: 7.55s	remaining: 19.3s
281:	test: 0.8036954	best: 0.8036994 (278)	total: 7.57s	remaining: 19.3s
282:	test: 0.8036954	best: 0.8036994 (278)	total: 7.59s	remaining: 19.2s
283:	test: 0.8037158	best: 0.8037158 (283)	total: 7.62s	remaining: 19.2s
284:	test: 0.8037158	best: 0.8037158 (283)	total: 7.64s	remaining: 19.2s
285:	test: 0.8037158	best: 0.8037158 (283)	total: 7.66s	remaining: 19.1s
286:	test: 0.8037155	best: 0.8037158 (283)	total: 7.68s	remaining: 19.1s
287:	test: 0.8037125	best: 0.8037158 (283)	total: 7.7s	remaining: 19s
288:	test: 0.8037126	best: 0.8037158 (283)	total: 7.72s	remaining: 19s
289:	test: 0.8037262	best: 0.8037262 (289)	total: 7.75s	remaining: 19s
290:	test: 0.8037043	best: 0.8037262 (289)	total: 7.78s	remaining: 18.9s
291:	test: 0.8037043	best: 0.8037262 (289)	total: 7.79s	remaining: 18.9s
292:	test: 0.8037020	best: 0.8037262 (289)	total: 7.82s	remaining: 18.9s
293:	test: 0.8037044	best: 0.8037262 (289)	total: 7.85s	remaining: 18.9s
294:	test: 0.8037006	best: 0.8037262 (289)	total: 7.88s	remaining: 18.8s
295:	test: 0.8036942	best: 0.8037262 (289)	total: 7.91s	remaining: 18.8s
296:	test: 0.8036942	best: 0.8037262 (289)	total: 7.93s	remaining: 18.8s
297:	test: 0.8037026	best: 0.8037262 (289)	total: 7.96s	remaining: 18.7s
298:	test: 0.8037129	best: 0.8037262 (289)	total: 7.99s	remaining: 18.7s
299:	test: 0.8037129	best: 0.8037262 (289)	total: 8.01s	remaining: 18.7s
300:	test: 0.8036884	best: 0.8037262 (289)	total: 8.05s	remaining: 18.7s
301:	test: 0.8037048	best: 0.8037262 (289)	total: 8.08s	remaining: 18.7s
302:	test: 0.8037039	best: 0.8037262 (289)	total: 8.11s	remaining: 18.6s
303:	test: 0.8036922	best: 0.8037262 (289)	total: 8.13s	remaining: 18.6s
304:	test: 0.8037023	best: 0.8037262 (289)	total: 8.16s	remaining: 18.6s
305:	test: 0.8037023	best: 0.8037262 (289)	total: 8.18s	remaining: 18.6s
306:	test: 0.8037176	best: 0.8037262 (289)	total: 8.21s	remaining: 18.5s
307:	test: 0.8037383	best: 0.8037383 (307)	total: 8.24s	remaining: 18.5s
308:	test: 0.8037312	best: 0.8037383 (307)	total: 8.27s	remaining: 18.5s
309:	test: 0.8037235	best: 0.8037383 (307)	total: 8.29s	remaining: 18.5s
310:	test: 0.8037136	best: 0.8037383 (307)	total: 8.32s	remaining: 18.4s
