162:	test: 0.9411076	best: 0.9411134 (161)	total: 922ms	remaining: 4.73s
163:	test: 0.9412270	best: 0.9412270 (163)	total: 927ms	remaining: 4.72s
164:	test: 0.9412433	best: 0.9412433 (164)	total: 935ms	remaining: 4.73s
165:	test: 0.9412559	best: 0.9412559 (165)	total: 939ms	remaining: 4.72s
166:	test: 0.9413715	best: 0.9413715 (166)	total: 945ms	remaining: 4.71s
167:	test: 0.9413806	best: 0.9413806 (167)	total: 949ms	remaining: 4.7s
168:	test: 0.9414212	best: 0.9414212 (168)	total: 954ms	remaining: 4.69s
169:	test: 0.9414138	best: 0.9414212 (168)	total: 960ms	remaining: 4.69s
170:	test: 0.9414427	best: 0.9414427 (170)	total: 964ms	remaining: 4.67s
171:	test: 0.9414516	best: 0.9414516 (171)	total: 969ms	remaining: 4.67s
172:	test: 0.9414643	best: 0.9414643 (172)	total: 974ms	remaining: 4.65s
173:	test: 0.9415863	best: 0.9415863 (173)	total: 978ms	remaining: 4.64s
174:	test: 0.9416269	best: 0.9416269 (174)	total: 984ms	remaining: 4.64s
175:	test: 0.9416301	best: 0.9416301 (175)	total: 989ms	remaining: 4.63s
176:	test: 0.9417789	best: 0.9417789 (176)	total: 994ms	remaining: 4.62s
177:	test: 0.9417694	best: 0.9417789 (176)	total: 999ms	remaining: 4.61s
178:	test: 0.9418157	best: 0.9418157 (178)	total: 1s	remaining: 4.6s
179:	test: 0.9418243	best: 0.9418243 (179)	total: 1.01s	remaining: 4.6s
180:	test: 0.9418269	best: 0.9418269 (180)	total: 1.01s	remaining: 4.59s
181:	test: 0.9418722	best: 0.9418722 (181)	total: 1.02s	remaining: 4.59s
182:	test: 0.9419082	best: 0.9419082 (182)	total: 1.02s	remaining: 4.58s
183:	test: 0.9419122	best: 0.9419122 (183)	total: 1.03s	remaining: 4.57s
184:	test: 0.9419148	best: 0.9419148 (184)	total: 1.03s	remaining: 4.56s
185:	test: 0.9419356	best: 0.9419356 (185)	total: 1.04s	remaining: 4.56s
186:	test: 0.9419597	best: 0.9419597 (186)	total: 1.05s	remaining: 4.55s
187:	test: 0.9419723	best: 0.9419723 (187)	total: 1.05s	remaining: 4.55s
188:	test: 0.9419669	best: 0.9419723 (187)	total: 1.06s	remaining: 4.54s
189:	test: 0.9419514	best: 0.9419723 (187)	total: 1.06s	remaining: 4.54s
190:	test: 0.9419616	best: 0.9419723 (187)	total: 1.07s	remaining: 4.54s
191:	test: 0.9419612	best: 0.9419723 (187)	total: 1.08s	remaining: 4.53s
192:	test: 0.9419745	best: 0.9419745 (192)	total: 1.08s	remaining: 4.52s
193:	test: 0.9419799	best: 0.9419799 (193)	total: 1.08s	remaining: 4.51s
194:	test: 0.9419788	best: 0.9419799 (193)	total: 1.09s	remaining: 4.5s
195:	test: 0.9420494	best: 0.9420494 (195)	total: 1.09s	remaining: 4.49s
196:	test: 0.9420505	best: 0.9420505 (196)	total: 1.1s	remaining: 4.49s
197:	test: 0.9420416	best: 0.9420505 (196)	total: 1.1s	remaining: 4.48s
198:	test: 0.9420720	best: 0.9420720 (198)	total: 1.11s	remaining: 4.47s
199:	test: 0.9421328	best: 0.9421328 (199)	total: 1.11s	remaining: 4.46s
200:	test: 0.9421860	best: 0.9421860 (200)	total: 1.12s	remaining: 4.45s
201:	test: 0.9422751	best: 0.9422751 (201)	total: 1.13s	remaining: 4.45s
202:	test: 0.9422713	best: 0.9422751 (201)	total: 1.13s	remaining: 4.44s
203:	test: 0.9423368	best: 0.9423368 (203)	total: 1.14s	remaining: 4.43s
204:	test: 0.9423713	best: 0.9423713 (204)	total: 1.14s	remaining: 4.43s
205:	test: 0.9424125	best: 0.9424125 (205)	total: 1.15s	remaining: 4.42s
206:	test: 0.9424238	best: 0.9424238 (206)	total: 1.15s	remaining: 4.41s
207:	test: 0.9424230	best: 0.9424238 (206)	total: 1.16s	remaining: 4.4s
208:	test: 0.9424621	best: 0.9424621 (208)	total: 1.16s	remaining: 4.39s
209:	test: 0.9424650	best: 0.9424650 (209)	total: 1.17s	remaining: 4.38s
210:	test: 0.9424653	best: 0.9424653 (210)	total: 1.17s	remaining: 4.38s
211:	test: 0.9424756	best: 0.9424756 (211)	total: 1.18s	remaining: 4.37s
212:	test: 0.9424753	best: 0.9424756 (211)	total: 1.18s	remaining: 4.36s
213:	test: 0.9425139	best: 0.9425139 (213)	total: 1.19s	remaining: 4.36s
214:	test: 0.9425285	best: 0.9425285 (214)	total: 1.19s	remaining: 4.35s
215:	test: 0.9425735	best: 0.9425735 (215)	total: 1.2s	remaining: 4.34s
216:	test: 0.9426709	best: 0.9426709 (216)	total: 1.2s	remaining: 4.33s
217:	test: 0.9427024	best: 0.9427024 (217)	total: 1.21s	remaining: 4.33s
218:	test: 0.9427181	best: 0.9427181 (218)	total: 1.21s	remaining: 4.32s
219:	test: 0.9428117	best: 0.9428117 (219)	total: 1.22s	remaining: 4.31s
220:	test: 0.9428104	best: 0.9428117 (219)	total: 1.22s	remaining: 4.3s
221:	test: 0.9428035	best: 0.9428117 (219)	total: 1.23s	remaining: 4.3s
222:	test: 0.9428326	best: 0.9428326 (222)	total: 1.23s	remaining: 4.29s
223:	test: 0.9428587	best: 0.9428587 (223)	total: 1.24s	remaining: 4.28s
224:	test: 0.9429352	best: 0.9429352 (224)	total: 1.24s	remaining: 4.27s
225:	test: 0.9430017	best: 0.9430017 (225)	total: 1.25s	remaining: 4.26s
226:	test: 0.9430148	best: 0.9430148 (226)	total: 1.25s	remaining: 4.26s
227:	test: 0.9430538	best: 0.9430538 (227)	total: 1.25s	remaining: 4.25s
228:	test: 0.9431449	best: 0.9431449 (228)	total: 1.26s	remaining: 4.24s
229:	test: 0.9431746	best: 0.9431746 (229)	total: 1.26s	remaining: 4.24s
230:	test: 0.9431708	best: 0.9431746 (229)	total: 1.27s	remaining: 4.22s
231:	test: 0.9431794	best: 0.9431794 (231)	total: 1.27s	remaining: 4.22s
232:	test: 0.9432256	best: 0.9432256 (232)	total: 1.28s	remaining: 4.21s
233:	test: 0.9432686	best: 0.9432686 (233)	total: 1.28s	remaining: 4.2s
234:	test: 0.9433028	best: 0.9433028 (234)	total: 1.29s	remaining: 4.2s
235:	test: 0.9433530	best: 0.9433530 (235)	total: 1.29s	remaining: 4.19s
236:	test: 0.9434088	best: 0.9434088 (236)	total: 1.3s	remaining: 4.18s
