133:	test: 0.8023314	best: 0.8023314 (133)	total: 3.46s	remaining: 22.4s
134:	test: 0.8023369	best: 0.8023369 (134)	total: 3.5s	remaining: 22.4s
135:	test: 0.8023455	best: 0.8023455 (135)	total: 3.52s	remaining: 22.4s
136:	test: 0.8023763	best: 0.8023763 (136)	total: 3.56s	remaining: 22.4s
137:	test: 0.8023998	best: 0.8023998 (137)	total: 3.6s	remaining: 22.5s
138:	test: 0.8024034	best: 0.8024034 (138)	total: 3.63s	remaining: 22.5s
139:	test: 0.8024048	best: 0.8024048 (139)	total: 3.66s	remaining: 22.5s
140:	test: 0.8024332	best: 0.8024332 (140)	total: 3.69s	remaining: 22.5s
141:	test: 0.8024609	best: 0.8024609 (141)	total: 3.72s	remaining: 22.5s
142:	test: 0.8025189	best: 0.8025189 (142)	total: 3.75s	remaining: 22.5s
143:	test: 0.8025294	best: 0.8025294 (143)	total: 3.78s	remaining: 22.5s
144:	test: 0.8025430	best: 0.8025430 (144)	total: 3.81s	remaining: 22.5s
145:	test: 0.8025731	best: 0.8025731 (145)	total: 3.84s	remaining: 22.4s
146:	test: 0.8025981	best: 0.8025981 (146)	total: 3.87s	remaining: 22.4s
147:	test: 0.8026060	best: 0.8026060 (147)	total: 3.9s	remaining: 22.4s
148:	test: 0.8026151	best: 0.8026151 (148)	total: 3.92s	remaining: 22.4s
149:	test: 0.8026606	best: 0.8026606 (149)	total: 3.95s	remaining: 22.4s
150:	test: 0.8026650	best: 0.8026650 (150)	total: 3.98s	remaining: 22.4s
151:	test: 0.8026684	best: 0.8026684 (151)	total: 4.01s	remaining: 22.4s
152:	test: 0.8026972	best: 0.8026972 (152)	total: 4.04s	remaining: 22.3s
153:	test: 0.8027007	best: 0.8027007 (153)	total: 4.06s	remaining: 22.3s
154:	test: 0.8027129	best: 0.8027129 (154)	total: 4.09s	remaining: 22.3s
155:	test: 0.8027480	best: 0.8027480 (155)	total: 4.12s	remaining: 22.3s
156:	test: 0.8027512	best: 0.8027512 (156)	total: 4.15s	remaining: 22.3s
157:	test: 0.8027558	best: 0.8027558 (157)	total: 4.18s	remaining: 22.3s
158:	test: 0.8027781	best: 0.8027781 (158)	total: 4.21s	remaining: 22.3s
159:	test: 0.8027887	best: 0.8027887 (159)	total: 4.23s	remaining: 22.2s
