126:	test: 0.9260935	best: 0.9260935 (126)	total: 523ms	remaining: 3.59s
127:	test: 0.9261130	best: 0.9261130 (127)	total: 526ms	remaining: 3.58s
128:	test: 0.9261240	best: 0.9261240 (128)	total: 530ms	remaining: 3.58s
129:	test: 0.9261215	best: 0.9261240 (128)	total: 534ms	remaining: 3.58s
130:	test: 0.9261372	best: 0.9261372 (130)	total: 539ms	remaining: 3.58s
131:	test: 0.9261570	best: 0.9261570 (131)	total: 543ms	remaining: 3.57s
132:	test: 0.9261576	best: 0.9261576 (132)	total: 546ms	remaining: 3.56s
133:	test: 0.9261530	best: 0.9261576 (132)	total: 550ms	remaining: 3.56s
134:	test: 0.9261706	best: 0.9261706 (134)	total: 554ms	remaining: 3.55s
135:	test: 0.9261819	best: 0.9261819 (135)	total: 557ms	remaining: 3.54s
136:	test: 0.9261964	best: 0.9261964 (136)	total: 561ms	remaining: 3.54s
137:	test: 0.9261904	best: 0.9261964 (136)	total: 565ms	remaining: 3.53s
138:	test: 0.9261929	best: 0.9261964 (136)	total: 569ms	remaining: 3.52s
139:	test: 0.9261931	best: 0.9261964 (136)	total: 572ms	remaining: 3.51s
140:	test: 0.9262037	best: 0.9262037 (140)	total: 576ms	remaining: 3.51s
141:	test: 0.9262174	best: 0.9262174 (141)	total: 580ms	remaining: 3.5s
142:	test: 0.9262449	best: 0.9262449 (142)	total: 583ms	remaining: 3.5s
143:	test: 0.9262581	best: 0.9262581 (143)	total: 588ms	remaining: 3.5s
144:	test: 0.9262553	best: 0.9262581 (143)	total: 592ms	remaining: 3.49s
145:	test: 0.9262736	best: 0.9262736 (145)	total: 595ms	remaining: 3.48s
146:	test: 0.9262742	best: 0.9262742 (146)	total: 599ms	remaining: 3.47s
147:	test: 0.9262694	best: 0.9262742 (146)	total: 602ms	remaining: 3.47s
148:	test: 0.9262712	best: 0.9262742 (146)	total: 606ms	remaining: 3.46s
149:	test: 0.9262829	best: 0.9262829 (149)	total: 610ms	remaining: 3.45s
150:	test: 0.9263152	best: 0.9263152 (150)	total: 614ms	remaining: 3.45s
151:	test: 0.9263117	best: 0.9263152 (150)	total: 619ms	remaining: 3.45s
152:	test: 0.9263089	best: 0.9263152 (150)	total: 623ms	remaining: 3.45s
153:	test: 0.9263090	best: 0.9263152 (150)	total: 626ms	remaining: 3.44s
154:	test: 0.9263090	best: 0.9263152 (150)	total: 629ms	remaining: 3.43s
155:	test: 0.9263119	best: 0.9263152 (150)	total: 633ms	remaining: 3.42s
156:	test: 0.9263361	best: 0.9263361 (156)	total: 636ms	remaining: 3.42s
157:	test: 0.9263610	best: 0.9263610 (157)	total: 640ms	remaining: 3.41s
