99:	test: 0.9252455	best: 0.9253058 (98)	total: 409ms	remaining: 3.68s
100:	test: 0.9254075	best: 0.9254075 (100)	total: 412ms	remaining: 3.67s
101:	test: 0.9255960	best: 0.9255960 (101)	total: 415ms	remaining: 3.65s
102:	test: 0.9256169	best: 0.9256169 (102)	total: 419ms	remaining: 3.65s
103:	test: 0.9257568	best: 0.9257568 (103)	total: 422ms	remaining: 3.63s
104:	test: 0.9258991	best: 0.9258991 (104)	total: 424ms	remaining: 3.62s
105:	test: 0.9260013	best: 0.9260013 (105)	total: 427ms	remaining: 3.6s
106:	test: 0.9262083	best: 0.9262083 (106)	total: 430ms	remaining: 3.59s
107:	test: 0.9263709	best: 0.9263709 (107)	total: 433ms	remaining: 3.57s
108:	test: 0.9264412	best: 0.9264412 (108)	total: 436ms	remaining: 3.56s
109:	test: 0.9265588	best: 0.9265588 (109)	total: 439ms	remaining: 3.55s
110:	test: 0.9265490	best: 0.9265588 (109)	total: 441ms	remaining: 3.53s
111:	test: 0.9266734	best: 0.9266734 (111)	total: 444ms	remaining: 3.52s
112:	test: 0.9267572	best: 0.9267572 (112)	total: 447ms	remaining: 3.5s
113:	test: 0.9267729	best: 0.9267729 (113)	total: 449ms	remaining: 3.49s
114:	test: 0.9268548	best: 0.9268548 (114)	total: 452ms	remaining: 3.48s
115:	test: 0.9269056	best: 0.9269056 (115)	total: 455ms	remaining: 3.47s
116:	test: 0.9270181	best: 0.9270181 (116)	total: 458ms	remaining: 3.46s
117:	test: 0.9270421	best: 0.9270421 (117)	total: 461ms	remaining: 3.45s
118:	test: 0.9270242	best: 0.9270421 (117)	total: 464ms	remaining: 3.43s
119:	test: 0.9269792	best: 0.9270421 (117)	total: 467ms	remaining: 3.42s
120:	test: 0.9270969	best: 0.9270969 (120)	total: 471ms	remaining: 3.42s
121:	test: 0.9270938	best: 0.9270969 (120)	total: 474ms	remaining: 3.41s
122:	test: 0.9271912	best: 0.9271912 (122)	total: 477ms	remaining: 3.4s
123:	test: 0.9271838	best: 0.9271912 (122)	total: 480ms	remaining: 3.39s
124:	test: 0.9273057	best: 0.9273057 (124)	total: 484ms	remaining: 3.38s
125:	test: 0.9273476	best: 0.9273476 (125)	total: 486ms	remaining: 3.37s
126:	test: 0.9274536	best: 0.9274536 (126)	total: 489ms	remaining: 3.36s
127:	test: 0.9274758	best: 0.9274758 (127)	total: 492ms	remaining: 3.35s
128:	test: 0.9276045	best: 0.9276045 (128)	total: 496ms	remaining: 3.35s
129:	test: 0.9276378	best: 0.9276378 (129)	total: 499ms	remaining: 3.34s
130:	test: 0.9276174	best: 0.9276378 (129)	total: 502ms	remaining: 3.33s
131:	test: 0.9276680	best: 0.9276680 (131)	total: 505ms	remaining: 3.32s
132:	test: 0.9277684	best: 0.9277684 (132)	total: 508ms	remaining: 3.31s
133:	test: 0.9277930	best: 0.9277930 (133)	total: 511ms	remaining: 3.3s
134:	test: 0.9278380	best: 0.9278380 (134)	total: 514ms	remaining: 3.29s
135:	test: 0.9278851	best: 0.9278851 (135)	total: 517ms	remaining: 3.29s
136:	test: 0.9278685	best: 0.9278851 (135)	total: 520ms	remaining: 3.28s
137:	test: 0.9279079	best: 0.9279079 (137)	total: 523ms	remaining: 3.27s
138:	test: 0.9279793	best: 0.9279793 (138)	total: 526ms	remaining: 3.26s
139:	test: 0.9281093	best: 0.9281093 (139)	total: 529ms	remaining: 3.25s
140:	test: 0.9280841	best: 0.9281093 (139)	total: 532ms	remaining: 3.24s
141:	test: 0.9281210	best: 0.9281210 (141)	total: 535ms	remaining: 3.23s
142:	test: 0.9282479	best: 0.9282479 (142)	total: 538ms	remaining: 3.22s
143:	test: 0.9282405	best: 0.9282479 (142)	total: 541ms	remaining: 3.22s
144:	test: 0.9282251	best: 0.9282479 (142)	total: 545ms	remaining: 3.21s
145:	test: 0.9281937	best: 0.9282479 (142)	total: 548ms	remaining: 3.2s
146:	test: 0.9281993	best: 0.9282479 (142)	total: 551ms	remaining: 3.19s
147:	test: 0.9282843	best: 0.9282843 (147)	total: 554ms	remaining: 3.19s
148:	test: 0.9282941	best: 0.9282941 (148)	total: 557ms	remaining: 3.18s
149:	test: 0.9282941	best: 0.9282941 (148)	total: 560ms	remaining: 3.17s
150:	test: 0.9283921	best: 0.9283921 (150)	total: 563ms	remaining: 3.16s
151:	test: 0.9284691	best: 0.9284691 (151)	total: 565ms	remaining: 3.15s
152:	test: 0.9285202	best: 0.9285202 (152)	total: 568ms	remaining: 3.15s
153:	test: 0.9286151	best: 0.9286151 (153)	total: 571ms	remaining: 3.14s
154:	test: 0.9286533	best: 0.9286533 (154)	total: 574ms	remaining: 3.13s
155:	test: 0.9287340	best: 0.9287340 (155)	total: 576ms	remaining: 3.12s
156:	test: 0.9287149	best: 0.9287340 (155)	total: 579ms	remaining: 3.11s
157:	test: 0.9286995	best: 0.9287340 (155)	total: 583ms	remaining: 3.11s
158:	test: 0.9286927	best: 0.9287340 (155)	total: 586ms	remaining: 3.1s
159:	test: 0.9286912	best: 0.9287340 (155)	total: 589ms	remaining: 3.09s
160:	test: 0.9286443	best: 0.9287340 (155)	total: 592ms	remaining: 3.08s
161:	test: 0.9286838	best: 0.9287340 (155)	total: 595ms	remaining: 3.08s
162:	test: 0.9287210	best: 0.9287340 (155)	total: 598ms	remaining: 3.07s
163:	test: 0.9287919	best: 0.9287919 (163)	total: 600ms	remaining: 3.06s
164:	test: 0.9287900	best: 0.9287919 (163)	total: 603ms	remaining: 3.05s
165:	test: 0.9288892	best: 0.9288892 (165)	total: 607ms	remaining: 3.05s
166:	test: 0.9288726	best: 0.9288892 (165)	total: 610ms	remaining: 3.04s
167:	test: 0.9288991	best: 0.9288991 (167)	total: 613ms	remaining: 3.04s
168:	test: 0.9289157	best: 0.9289157 (168)	total: 617ms	remaining: 3.03s
169:	test: 0.9290426	best: 0.9290426 (169)	total: 619ms	remaining: 3.02s
170:	test: 0.9290894	best: 0.9290894 (170)	total: 622ms	remaining: 3.02s
171:	test: 0.9291067	best: 0.9291067 (171)	total: 625ms	remaining: 3.01s
172:	test: 0.9291177	best: 0.9291177 (172)	total: 628ms	remaining: 3s
173:	test: 0.9291307	best: 0.9291307 (173)	total: 631ms	remaining: 3s
174:	test: 0.9291966	best: 0.9291966 (174)	total: 634ms	remaining: 2.99s
175:	test: 0.9292416	best: 0.9292416 (175)	total: 637ms	remaining: 2.98s
176:	test: 0.9292231	best: 0.9292416 (175)	total: 640ms	remaining: 2.98s
177:	test: 0.9293629	best: 0.9293629 (177)	total: 643ms	remaining: 2.97s
178:	test: 0.9293888	best: 0.9293888 (178)	total: 646ms	remaining: 2.96s
179:	test: 0.9293974	best: 0.9293974 (179)	total: 649ms	remaining: 2.96s
180:	test: 0.9293826	best: 0.9293974 (179)	total: 652ms	remaining: 2.95s
181:	test: 0.9294067	best: 0.9294067 (181)	total: 655ms	remaining: 2.94s
182:	test: 0.9294787	best: 0.9294787 (182)	total: 658ms	remaining: 2.94s
183:	test: 0.9294966	best: 0.9294966 (183)	total: 661ms	remaining: 2.93s
184:	test: 0.9295292	best: 0.9295292 (184)	total: 663ms	remaining: 2.92s
185:	test: 0.9295083	best: 0.9295292 (184)	total: 666ms	remaining: 2.92s
186:	test: 0.9295582	best: 0.9295582 (186)	total: 669ms	remaining: 2.91s
187:	test: 0.9295945	best: 0.9295945 (187)	total: 673ms	remaining: 2.9s
188:	test: 0.9296253	best: 0.9296253 (188)	total: 675ms	remaining: 2.9s
189:	test: 0.9296377	best: 0.9296377 (189)	total: 678ms	remaining: 2.89s
190:	test: 0.9296962	best: 0.9296962 (190)	total: 681ms	remaining: 2.88s
191:	test: 0.9297350	best: 0.9297350 (191)	total: 683ms	remaining: 2.88s
192:	test: 0.9298188	best: 0.9298188 (192)	total: 686ms	remaining: 2.87s
193:	test: 0.9298588	best: 0.9298588 (193)	total: 689ms	remaining: 2.86s
194:	test: 0.9299253	best: 0.9299253 (194)	total: 692ms	remaining: 2.85s
195:	test: 0.9299414	best: 0.9299414 (195)	total: 695ms	remaining: 2.85s
196:	test: 0.9299740	best: 0.9299740 (196)	total: 697ms	remaining: 2.84s
197:	test: 0.9299765	best: 0.9299765 (197)	total: 700ms	remaining: 2.83s
198:	test: 0.9300639	best: 0.9300639 (198)	total: 702ms	remaining: 2.83s
199:	test: 0.9301065	best: 0.9301065 (199)	total: 705ms	remaining: 2.82s
200:	test: 0.9301403	best: 0.9301403 (200)	total: 708ms	remaining: 2.81s
201:	test: 0.9301705	best: 0.9301705 (201)	total: 710ms	remaining: 2.81s
202:	test: 0.9301939	best: 0.9301939 (202)	total: 713ms	remaining: 2.8s
203:	test: 0.9302324	best: 0.9302324 (203)	total: 716ms	remaining: 2.79s
204:	test: 0.9302780	best: 0.9302780 (204)	total: 719ms	remaining: 2.79s
205:	test: 0.9303415	best: 0.9303415 (205)	total: 722ms	remaining: 2.78s
206:	test: 0.9303427	best: 0.9303427 (206)	total: 725ms	remaining: 2.78s
207:	test: 0.9303390	best: 0.9303427 (206)	total: 728ms	remaining: 2.77s
208:	test: 0.9303612	best: 0.9303612 (208)	total: 732ms	remaining: 2.77s
209:	test: 0.9303729	best: 0.9303729 (209)	total: 734ms	remaining: 2.76s
210:	test: 0.9303815	best: 0.9303815 (210)	total: 737ms	remaining: 2.75s
211:	test: 0.9303713	best: 0.9303815 (210)	total: 740ms	remaining: 2.75s
212:	test: 0.9303763	best: 0.9303815 (210)	total: 743ms	remaining: 2.74s
213:	test: 0.9303689	best: 0.9303815 (210)	total: 745ms	remaining: 2.74s
214:	test: 0.9303997	best: 0.9303997 (214)	total: 748ms	remaining: 2.73s
215:	test: 0.9304446	best: 0.9304446 (215)	total: 751ms	remaining: 2.73s
216:	test: 0.9304736	best: 0.9304736 (216)	total: 754ms	remaining: 2.72s
217:	test: 0.9304798	best: 0.9304798 (217)	total: 757ms	remaining: 2.71s
218:	test: 0.9305420	best: 0.9305420 (218)	total: 760ms	remaining: 2.71s
219:	test: 0.9305346	best: 0.9305420 (218)	total: 765ms	remaining: 2.71s
220:	test: 0.9305401	best: 0.9305420 (218)	total: 768ms	remaining: 2.71s
221:	test: 0.9305802	best: 0.9305802 (221)	total: 771ms	remaining: 2.7s
222:	test: 0.9305814	best: 0.9305814 (222)	total: 775ms	remaining: 2.7s
223:	test: 0.9305894	best: 0.9305894 (223)	total: 777ms	remaining: 2.69s
224:	test: 0.9305703	best: 0.9305894 (223)	total: 780ms	remaining: 2.69s
225:	test: 0.9306202	best: 0.9306202 (225)	total: 783ms	remaining: 2.68s
226:	test: 0.9306245	best: 0.9306245 (226)	total: 787ms	remaining: 2.68s
227:	test: 0.9306239	best: 0.9306245 (226)	total: 789ms	remaining: 2.67s
228:	test: 0.9306947	best: 0.9306947 (228)	total: 792ms	remaining: 2.67s
229:	test: 0.9306763	best: 0.9306947 (228)	total: 795ms	remaining: 2.66s
230:	test: 0.9306775	best: 0.9306947 (228)	total: 798ms	remaining: 2.65s
231:	test: 0.9306880	best: 0.9306947 (228)	total: 801ms	remaining: 2.65s
232:	test: 0.9306837	best: 0.9306947 (228)	total: 804ms	remaining: 2.65s
233:	test: 0.9306978	best: 0.9306978 (233)	total: 806ms	remaining: 2.64s
234:	test: 0.9307225	best: 0.9307225 (234)	total: 809ms	remaining: 2.63s
235:	test: 0.9307576	best: 0.9307576 (235)	total: 812ms	remaining: 2.63s
236:	test: 0.9308026	best: 0.9308026 (236)	total: 814ms	remaining: 2.62s
237:	test: 0.9308161	best: 0.9308161 (237)	total: 818ms	remaining: 2.62s
238:	test: 0.9308278	best: 0.9308278 (238)	total: 821ms	remaining: 2.61s
239:	test: 0.9308746	best: 0.9308746 (239)	total: 824ms	remaining: 2.61s
240:	test: 0.9308937	best: 0.9308937 (240)	total: 826ms	remaining: 2.6s
241:	test: 0.9309128	best: 0.9309128 (241)	total: 829ms	remaining: 2.6s
242:	test: 0.9309141	best: 0.9309141 (242)	total: 832ms	remaining: 2.59s
243:	test: 0.9309258	best: 0.9309258 (243)	total: 835ms	remaining: 2.59s
244:	test: 0.9309245	best: 0.9309258 (243)	total: 837ms	remaining: 2.58s
245:	test: 0.9309276	best: 0.9309276 (245)	total: 841ms	remaining: 2.58s
246:	test: 0.9309467	best: 0.9309467 (246)	total: 845ms	remaining: 2.58s
247:	test: 0.9309516	best: 0.9309516 (247)	total: 848ms	remaining: 2.57s
248:	test: 0.9309658	best: 0.9309658 (248)	total: 851ms	remaining: 2.57s
249:	test: 0.9309566	best: 0.9309658 (248)	total: 855ms	remaining: 2.56s
250:	test: 0.9309683	best: 0.9309683 (250)	total: 858ms	remaining: 2.56s
251:	test: 0.9309763	best: 0.9309763 (251)	total: 861ms	remaining: 2.56s
252:	test: 0.9309830	best: 0.9309830 (252)	total: 864ms	remaining: 2.55s
253:	test: 0.9309498	best: 0.9309830 (252)	total: 867ms	remaining: 2.54s
254:	test: 0.9309590	best: 0.9309830 (252)	total: 870ms	remaining: 2.54s
255:	test: 0.9310163	best: 0.9310163 (255)	total: 872ms	remaining: 2.54s
256:	test: 0.9310465	best: 0.9310465 (256)	total: 876ms	remaining: 2.53s
257:	test: 0.9310582	best: 0.9310582 (257)	total: 879ms	remaining: 2.53s
258:	test: 0.9310557	best: 0.9310582 (257)	total: 882ms	remaining: 2.52s
259:	test: 0.9310650	best: 0.9310650 (259)	total: 885ms	remaining: 2.52s
260:	test: 0.9310915	best: 0.9310915 (260)	total: 888ms	remaining: 2.51s
