75:	test: 0.9479424	best: 0.9479424 (75)	total: 673ms	remaining: 8.18s
76:	test: 0.9479746	best: 0.9479746 (76)	total: 680ms	remaining: 8.15s
77:	test: 0.9480109	best: 0.9480109 (77)	total: 689ms	remaining: 8.14s
78:	test: 0.9480306	best: 0.9480306 (78)	total: 696ms	remaining: 8.12s
79:	test: 0.9480658	best: 0.9480658 (79)	total: 704ms	remaining: 8.1s
80:	test: 0.9480855	best: 0.9480855 (80)	total: 712ms	remaining: 8.07s
81:	test: 0.9481066	best: 0.9481066 (81)	total: 719ms	remaining: 8.05s
82:	test: 0.9481089	best: 0.9481089 (82)	total: 727ms	remaining: 8.03s
83:	test: 0.9481425	best: 0.9481425 (83)	total: 734ms	remaining: 8.01s
84:	test: 0.9481590	best: 0.9481590 (84)	total: 742ms	remaining: 7.99s
85:	test: 0.9481765	best: 0.9481765 (85)	total: 750ms	remaining: 7.96s
86:	test: 0.9482033	best: 0.9482033 (86)	total: 758ms	remaining: 7.96s
87:	test: 0.9482221	best: 0.9482221 (87)	total: 766ms	remaining: 7.94s
88:	test: 0.9482369	best: 0.9482369 (88)	total: 775ms	remaining: 7.94s
89:	test: 0.9482530	best: 0.9482530 (89)	total: 784ms	remaining: 7.92s
90:	test: 0.9482648	best: 0.9482648 (90)	total: 795ms	remaining: 7.94s
91:	test: 0.9482876	best: 0.9482876 (91)	total: 805ms	remaining: 7.95s
92:	test: 0.9483054	best: 0.9483054 (92)	total: 815ms	remaining: 7.95s
93:	test: 0.9483221	best: 0.9483221 (93)	total: 824ms	remaining: 7.94s
94:	test: 0.9483284	best: 0.9483284 (94)	total: 833ms	remaining: 7.94s
95:	test: 0.9483622	best: 0.9483622 (95)	total: 841ms	remaining: 7.92s
96:	test: 0.9483666	best: 0.9483666 (96)	total: 851ms	remaining: 7.92s
97:	test: 0.9483724	best: 0.9483724 (97)	total: 860ms	remaining: 7.91s
98:	test: 0.9483749	best: 0.9483749 (98)	total: 867ms	remaining: 7.89s
99:	test: 0.9483882	best: 0.9483882 (99)	total: 875ms	remaining: 7.88s
100:	test: 0.9484123	best: 0.9484123 (100)	total: 885ms	remaining: 7.88s
101:	test: 0.9484248	best: 0.9484248 (101)	total: 894ms	remaining: 7.87s
102:	test: 0.9484310	best: 0.9484310 (102)	total: 906ms	remaining: 7.89s
103:	test: 0.9484428	best: 0.9484428 (103)	total: 916ms	remaining: 7.89s
104:	test: 0.9484656	best: 0.9484656 (104)	total: 925ms	remaining: 7.88s
105:	test: 0.9484812	best: 0.9484812 (105)	total: 937ms	remaining: 7.9s
106:	test: 0.9484971	best: 0.9484971 (106)	total: 946ms	remaining: 7.9s
107:	test: 0.9485101	best: 0.9485101 (107)	total: 962ms	remaining: 7.94s
108:	test: 0.9485176	best: 0.9485176 (108)	total: 970ms	remaining: 7.93s
109:	test: 0.9485237	best: 0.9485237 (109)	total: 979ms	remaining: 7.92s
110:	test: 0.9485464	best: 0.9485464 (110)	total: 988ms	remaining: 7.91s
111:	test: 0.9485490	best: 0.9485490 (111)	total: 998ms	remaining: 7.91s
112:	test: 0.9485742	best: 0.9485742 (112)	total: 1.01s	remaining: 7.91s
113:	test: 0.9485848	best: 0.9485848 (113)	total: 1.02s	remaining: 7.9s
114:	test: 0.9486195	best: 0.9486195 (114)	total: 1.03s	remaining: 7.9s
115:	test: 0.9486282	best: 0.9486282 (115)	total: 1.04s	remaining: 7.89s
116:	test: 0.9486476	best: 0.9486476 (116)	total: 1.05s	remaining: 7.9s
117:	test: 0.9486550	best: 0.9486550 (117)	total: 1.06s	remaining: 7.9s
118:	test: 0.9486569	best: 0.9486569 (118)	total: 1.07s	remaining: 7.9s
119:	test: 0.9486546	best: 0.9486569 (118)	total: 1.08s	remaining: 7.89s
120:	test: 0.9486546	best: 0.9486569 (118)	total: 1.08s	remaining: 7.86s
121:	test: 0.9486722	best: 0.9486722 (121)	total: 1.09s	remaining: 7.86s
