122:	test: 0.8032727	best: 0.8032757 (121)	total: 9.87s	remaining: 1m 10s
123:	test: 0.8032733	best: 0.8032757 (121)	total: 9.95s	remaining: 1m 10s
124:	test: 0.8032894	best: 0.8032894 (124)	total: 10s	remaining: 1m 10s
125:	test: 0.8032977	best: 0.8032977 (125)	total: 10.1s	remaining: 1m 10s
126:	test: 0.8033072	best: 0.8033072 (126)	total: 10.2s	remaining: 1m 10s
127:	test: 0.8033176	best: 0.8033176 (127)	total: 10.3s	remaining: 1m 10s
128:	test: 0.8033312	best: 0.8033312 (128)	total: 10.4s	remaining: 1m 9s
129:	test: 0.8033249	best: 0.8033312 (128)	total: 10.4s	remaining: 1m 9s
130:	test: 0.8033401	best: 0.8033401 (130)	total: 10.5s	remaining: 1m 9s
131:	test: 0.8033488	best: 0.8033488 (131)	total: 10.6s	remaining: 1m 9s
132:	test: 0.8033682	best: 0.8033682 (132)	total: 10.7s	remaining: 1m 9s
133:	test: 0.8033733	best: 0.8033733 (133)	total: 10.7s	remaining: 1m 9s
134:	test: 0.8033821	best: 0.8033821 (134)	total: 10.8s	remaining: 1m 9s
135:	test: 0.8033864	best: 0.8033864 (135)	total: 10.9s	remaining: 1m 9s
136:	test: 0.8033947	best: 0.8033947 (136)	total: 11s	remaining: 1m 9s
137:	test: 0.8033909	best: 0.8033947 (136)	total: 11.1s	remaining: 1m 9s
138:	test: 0.8033876	best: 0.8033947 (136)	total: 11.1s	remaining: 1m 8s
139:	test: 0.8033869	best: 0.8033947 (136)	total: 11.2s	remaining: 1m 8s
140:	test: 0.8033885	best: 0.8033947 (136)	total: 11.3s	remaining: 1m 8s
141:	test: 0.8033759	best: 0.8033947 (136)	total: 11.3s	remaining: 1m 8s
142:	test: 0.8034037	best: 0.8034037 (142)	total: 11.4s	remaining: 1m 8s
143:	test: 0.8033883	best: 0.8034037 (142)	total: 11.5s	remaining: 1m 8s
144:	test: 0.8033803	best: 0.8034037 (142)	total: 11.6s	remaining: 1m 8s
145:	test: 0.8033802	best: 0.8034037 (142)	total: 11.6s	remaining: 1m 7s
146:	test: 0.8033803	best: 0.8034037 (142)	total: 11.7s	remaining: 1m 7s
147:	test: 0.8033689	best: 0.8034037 (142)	total: 11.7s	remaining: 1m 7s
148:	test: 0.8033762	best: 0.8034037 (142)	total: 11.8s	remaining: 1m 7s
149:	test: 0.8033845	best: 0.8034037 (142)	total: 11.9s	remaining: 1m 7s
150:	test: 0.8033874	best: 0.8034037 (142)	total: 12s	remaining: 1m 7s
151:	test: 0.8033874	best: 0.8034037 (142)	total: 12s	remaining: 1m 6s
152:	test: 0.8034029	best: 0.8034037 (142)	total: 12.1s	remaining: 1m 6s
153:	test: 0.8034044	best: 0.8034044 (153)	total: 12.2s	remaining: 1m 6s
154:	test: 0.8034050	best: 0.8034050 (154)	total: 12.2s	remaining: 1m 6s
155:	test: 0.8034065	best: 0.8034065 (155)	total: 12.2s	remaining: 1m 6s
156:	test: 0.8034102	best: 0.8034102 (156)	total: 12.3s	remaining: 1m 6s
157:	test: 0.8034445	best: 0.8034445 (157)	total: 12.4s	remaining: 1m 6s
158:	test: 0.8034570	best: 0.8034570 (158)	total: 12.5s	remaining: 1m 6s
159:	test: 0.8034749	best: 0.8034749 (159)	total: 12.6s	remaining: 1m 5s
160:	test: 0.8034873	best: 0.8034873 (160)	total: 12.6s	remaining: 1m 5s
161:	test: 0.8034887	best: 0.8034887 (161)	total: 12.7s	remaining: 1m 5s
162:	test: 0.8034887	best: 0.8034887 (162)	total: 12.7s	remaining: 1m 5s
