199:	test: 0.9492101	best: 0.9492101 (199)	total: 2.66s	remaining: 10.6s
200:	test: 0.9492259	best: 0.9492259 (200)	total: 2.67s	remaining: 10.6s
201:	test: 0.9492288	best: 0.9492288 (201)	total: 2.68s	remaining: 10.6s
202:	test: 0.9492412	best: 0.9492412 (202)	total: 2.69s	remaining: 10.6s
203:	test: 0.9492390	best: 0.9492412 (202)	total: 2.7s	remaining: 10.5s
204:	test: 0.9492425	best: 0.9492425 (204)	total: 2.71s	remaining: 10.5s
205:	test: 0.9492456	best: 0.9492456 (205)	total: 2.72s	remaining: 10.5s
206:	test: 0.9492648	best: 0.9492648 (206)	total: 2.73s	remaining: 10.5s
207:	test: 0.9492686	best: 0.9492686 (207)	total: 2.74s	remaining: 10.4s
208:	test: 0.9492750	best: 0.9492750 (208)	total: 2.75s	remaining: 10.4s
209:	test: 0.9492883	best: 0.9492883 (209)	total: 2.76s	remaining: 10.4s
210:	test: 0.9493087	best: 0.9493087 (210)	total: 2.77s	remaining: 10.4s
211:	test: 0.9493168	best: 0.9493168 (211)	total: 2.78s	remaining: 10.3s
212:	test: 0.9493164	best: 0.9493168 (211)	total: 2.79s	remaining: 10.3s
213:	test: 0.9493146	best: 0.9493168 (211)	total: 2.8s	remaining: 10.3s
214:	test: 0.9493143	best: 0.9493168 (211)	total: 2.81s	remaining: 10.3s
215:	test: 0.9493339	best: 0.9493339 (215)	total: 2.82s	remaining: 10.3s
216:	test: 0.9493264	best: 0.9493339 (215)	total: 2.84s	remaining: 10.2s
217:	test: 0.9493341	best: 0.9493341 (217)	total: 2.85s	remaining: 10.2s
218:	test: 0.9493420	best: 0.9493420 (218)	total: 2.86s	remaining: 10.2s
219:	test: 0.9493461	best: 0.9493461 (219)	total: 2.87s	remaining: 10.2s
220:	test: 0.9493497	best: 0.9493497 (220)	total: 2.88s	remaining: 10.2s
221:	test: 0.9493560	best: 0.9493560 (221)	total: 2.89s	remaining: 10.1s
222:	test: 0.9493501	best: 0.9493560 (221)	total: 2.9s	remaining: 10.1s
223:	test: 0.9493628	best: 0.9493628 (223)	total: 2.91s	remaining: 10.1s
224:	test: 0.9493745	best: 0.9493745 (224)	total: 2.92s	remaining: 10.1s
225:	test: 0.9493743	best: 0.9493745 (224)	total: 2.93s	remaining: 10s
