118:	test: 0.9485580	best: 0.9485581 (117)	total: 692ms	remaining: 5.12s
119:	test: 0.9485640	best: 0.9485640 (119)	total: 697ms	remaining: 5.11s
120:	test: 0.9485655	best: 0.9485655 (120)	total: 703ms	remaining: 5.11s
121:	test: 0.9485656	best: 0.9485656 (121)	total: 707ms	remaining: 5.09s
122:	test: 0.9485964	best: 0.9485964 (122)	total: 712ms	remaining: 5.08s
123:	test: 0.9485964	best: 0.9485964 (122)	total: 716ms	remaining: 5.06s
124:	test: 0.9486169	best: 0.9486169 (124)	total: 721ms	remaining: 5.04s
125:	test: 0.9486281	best: 0.9486281 (125)	total: 725ms	remaining: 5.03s
126:	test: 0.9486296	best: 0.9486296 (126)	total: 729ms	remaining: 5.01s
127:	test: 0.9486483	best: 0.9486483 (127)	total: 734ms	remaining: 5s
128:	test: 0.9486483	best: 0.9486483 (127)	total: 739ms	remaining: 4.99s
129:	test: 0.9486828	best: 0.9486828 (129)	total: 746ms	remaining: 4.99s
130:	test: 0.9486944	best: 0.9486944 (130)	total: 751ms	remaining: 4.98s
131:	test: 0.9487032	best: 0.9487032 (131)	total: 756ms	remaining: 4.97s
132:	test: 0.9487033	best: 0.9487033 (132)	total: 760ms	remaining: 4.95s
133:	test: 0.9487079	best: 0.9487079 (133)	total: 765ms	remaining: 4.94s
134:	test: 0.9487201	best: 0.9487201 (134)	total: 771ms	remaining: 4.94s
135:	test: 0.9487202	best: 0.9487202 (135)	total: 775ms	remaining: 4.92s
136:	test: 0.9487202	best: 0.9487202 (136)	total: 778ms	remaining: 4.9s
137:	test: 0.9487203	best: 0.9487203 (137)	total: 782ms	remaining: 4.89s
138:	test: 0.9487203	best: 0.9487203 (138)	total: 786ms	remaining: 4.87s
139:	test: 0.9487203	best: 0.9487203 (139)	total: 791ms	remaining: 4.86s
140:	test: 0.9487276	best: 0.9487276 (140)	total: 796ms	remaining: 4.85s
141:	test: 0.9487439	best: 0.9487439 (141)	total: 801ms	remaining: 4.84s
142:	test: 0.9487441	best: 0.9487441 (142)	total: 805ms	remaining: 4.83s
143:	test: 0.9487495	best: 0.9487495 (143)	total: 810ms	remaining: 4.81s
144:	test: 0.9487495	best: 0.9487495 (143)	total: 813ms	remaining: 4.79s
145:	test: 0.9487495	best: 0.9487495 (143)	total: 817ms	remaining: 4.78s
146:	test: 0.9487674	best: 0.9487674 (146)	total: 822ms	remaining: 4.77s
147:	test: 0.9487852	best: 0.9487852 (147)	total: 826ms	remaining: 4.76s
148:	test: 0.9487987	best: 0.9487987 (148)	total: 831ms	remaining: 4.75s
149:	test: 0.9487988	best: 0.9487988 (149)	total: 834ms	remaining: 4.73s
150:	test: 0.9488106	best: 0.9488106 (150)	total: 839ms	remaining: 4.72s
151:	test: 0.9488220	best: 0.9488220 (151)	total: 845ms	remaining: 4.71s
152:	test: 0.9488287	best: 0.9488287 (152)	total: 850ms	remaining: 4.7s
153:	test: 0.9488297	best: 0.9488297 (153)	total: 853ms	remaining: 4.69s
154:	test: 0.9488360	best: 0.9488360 (154)	total: 859ms	remaining: 4.68s
