125:	test: 0.9462253	best: 0.9462253 (125)	total: 2.07s	remaining: 14.4s
126:	test: 0.9462345	best: 0.9462345 (126)	total: 2.08s	remaining: 14.3s
127:	test: 0.9462532	best: 0.9462532 (127)	total: 2.1s	remaining: 14.3s
128:	test: 0.9462856	best: 0.9462856 (128)	total: 2.11s	remaining: 14.2s
129:	test: 0.9463056	best: 0.9463056 (129)	total: 2.12s	remaining: 14.2s
130:	test: 0.9463278	best: 0.9463278 (130)	total: 2.14s	remaining: 14.2s
131:	test: 0.9463483	best: 0.9463483 (131)	total: 2.15s	remaining: 14.1s
132:	test: 0.9463644	best: 0.9463644 (132)	total: 2.16s	remaining: 14.1s
133:	test: 0.9463699	best: 0.9463699 (133)	total: 2.17s	remaining: 14s
134:	test: 0.9463819	best: 0.9463819 (134)	total: 2.19s	remaining: 14s
135:	test: 0.9464011	best: 0.9464011 (135)	total: 2.2s	remaining: 14s
136:	test: 0.9464139	best: 0.9464139 (136)	total: 2.21s	remaining: 14s
137:	test: 0.9464390	best: 0.9464390 (137)	total: 2.23s	remaining: 13.9s
138:	test: 0.9464593	best: 0.9464593 (138)	total: 2.25s	remaining: 13.9s
139:	test: 0.9464842	best: 0.9464842 (139)	total: 2.26s	remaining: 13.9s
140:	test: 0.9465031	best: 0.9465031 (140)	total: 2.27s	remaining: 13.8s
141:	test: 0.9465128	best: 0.9465128 (141)	total: 2.29s	remaining: 13.8s
142:	test: 0.9465348	best: 0.9465348 (142)	total: 2.3s	remaining: 13.8s
143:	test: 0.9465654	best: 0.9465654 (143)	total: 2.31s	remaining: 13.7s
144:	test: 0.9465874	best: 0.9465874 (144)	total: 2.33s	remaining: 13.7s
145:	test: 0.9465951	best: 0.9465951 (145)	total: 2.34s	remaining: 13.7s
146:	test: 0.9466189	best: 0.9466189 (146)	total: 2.35s	remaining: 13.7s
147:	test: 0.9466405	best: 0.9466405 (147)	total: 2.37s	remaining: 13.6s
148:	test: 0.9466667	best: 0.9466667 (148)	total: 2.38s	remaining: 13.6s
149:	test: 0.9466836	best: 0.9466836 (149)	total: 2.4s	remaining: 13.6s
150:	test: 0.9466967	best: 0.9466967 (150)	total: 2.41s	remaining: 13.6s
151:	test: 0.9467192	best: 0.9467192 (151)	total: 2.43s	remaining: 13.6s
152:	test: 0.9467357	best: 0.9467357 (152)	total: 2.44s	remaining: 13.5s
153:	test: 0.9467461	best: 0.9467461 (153)	total: 2.46s	remaining: 13.5s
154:	test: 0.9467559	best: 0.9467559 (154)	total: 2.48s	remaining: 13.5s
155:	test: 0.9467683	best: 0.9467683 (155)	total: 2.5s	remaining: 13.5s
156:	test: 0.9467845	best: 0.9467845 (156)	total: 2.52s	remaining: 13.5s
157:	test: 0.9467937	best: 0.9467937 (157)	total: 2.54s	remaining: 13.5s
158:	test: 0.9468026	best: 0.9468026 (158)	total: 2.55s	remaining: 13.5s
159:	test: 0.9468104	best: 0.9468104 (159)	total: 2.57s	remaining: 13.5s
160:	test: 0.9468381	best: 0.9468381 (160)	total: 2.59s	remaining: 13.5s
161:	test: 0.9468536	best: 0.9468536 (161)	total: 2.6s	remaining: 13.5s
162:	test: 0.9468627	best: 0.9468627 (162)	total: 2.62s	remaining: 13.4s
163:	test: 0.9468745	best: 0.9468745 (163)	total: 2.63s	remaining: 13.4s
164:	test: 0.9468811	best: 0.9468811 (164)	total: 2.65s	remaining: 13.4s
165:	test: 0.9468995	best: 0.9468995 (165)	total: 2.67s	remaining: 13.4s
166:	test: 0.9469121	best: 0.9469121 (166)	total: 2.68s	remaining: 13.4s
167:	test: 0.9469257	best: 0.9469257 (167)	total: 2.7s	remaining: 13.4s
168:	test: 0.9469466	best: 0.9469466 (168)	total: 2.71s	remaining: 13.3s
169:	test: 0.9469631	best: 0.9469631 (169)	total: 2.73s	remaining: 13.3s
170:	test: 0.9469721	best: 0.9469721 (170)	total: 2.74s	remaining: 13.3s
171:	test: 0.9469885	best: 0.9469885 (171)	total: 2.75s	remaining: 13.2s
172:	test: 0.9470117	best: 0.9470117 (172)	total: 2.76s	remaining: 13.2s
173:	test: 0.9470351	best: 0.9470351 (173)	total: 2.78s	remaining: 13.2s
174:	test: 0.9470379	best: 0.9470379 (174)	total: 2.79s	remaining: 13.2s
175:	test: 0.9470444	best: 0.9470444 (175)	total: 2.8s	remaining: 13.1s
176:	test: 0.9470492	best: 0.9470492 (176)	total: 2.81s	remaining: 13.1s
177:	test: 0.9470714	best: 0.9470714 (177)	total: 2.83s	remaining: 13.1s
178:	test: 0.9470790	best: 0.9470790 (178)	total: 2.84s	remaining: 13s
179:	test: 0.9470917	best: 0.9470917 (179)	total: 2.85s	remaining: 13s
180:	test: 0.9471018	best: 0.9471018 (180)	total: 2.87s	remaining: 13s
181:	test: 0.9471265	best: 0.9471265 (181)	total: 2.88s	remaining: 12.9s
182:	test: 0.9471395	best: 0.9471395 (182)	total: 2.89s	remaining: 12.9s
183:	test: 0.9471470	best: 0.9471470 (183)	total: 2.9s	remaining: 12.9s
184:	test: 0.9471599	best: 0.9471599 (184)	total: 2.92s	remaining: 12.8s
185:	test: 0.9471641	best: 0.9471641 (185)	total: 2.93s	remaining: 12.8s
186:	test: 0.9471800	best: 0.9471800 (186)	total: 2.94s	remaining: 12.8s
187:	test: 0.9471827	best: 0.9471827 (187)	total: 2.96s	remaining: 12.8s
188:	test: 0.9471959	best: 0.9471959 (188)	total: 2.97s	remaining: 12.8s
189:	test: 0.9471981	best: 0.9471981 (189)	total: 2.99s	remaining: 12.7s
190:	test: 0.9472084	best: 0.9472084 (190)	total: 3s	remaining: 12.7s
191:	test: 0.9472212	best: 0.9472212 (191)	total: 3.02s	remaining: 12.7s
192:	test: 0.9472400	best: 0.9472400 (192)	total: 3.03s	remaining: 12.7s
193:	test: 0.9472430	best: 0.9472430 (193)	total: 3.04s	remaining: 12.6s
194:	test: 0.9472553	best: 0.9472553 (194)	total: 3.06s	remaining: 12.6s
195:	test: 0.9472639	best: 0.9472639 (195)	total: 3.07s	remaining: 12.6s
196:	test: 0.9472642	best: 0.9472642 (196)	total: 3.08s	remaining: 12.6s
197:	test: 0.9472730	best: 0.9472730 (197)	total: 3.09s	remaining: 12.5s
198:	test: 0.9472821	best: 0.9472821 (198)	total: 3.1s	remaining: 12.5s
199:	test: 0.9472915	best: 0.9472915 (199)	total: 3.12s	remaining: 12.5s
200:	test: 0.9472968	best: 0.9472968 (200)	total: 3.13s	remaining: 12.4s
201:	test: 0.9473083	best: 0.9473083 (201)	total: 3.14s	remaining: 12.4s
202:	test: 0.9473239	best: 0.9473239 (202)	total: 3.16s	remaining: 12.4s
203:	test: 0.9473350	best: 0.9473350 (203)	total: 3.17s	remaining: 12.4s
204:	test: 0.9473441	best: 0.9473441 (204)	total: 3.18s	remaining: 12.3s
205:	test: 0.9473524	best: 0.9473524 (205)	total: 3.2s	remaining: 12.3s
206:	test: 0.9473626	best: 0.9473626 (206)	total: 3.21s	remaining: 12.3s
207:	test: 0.9473785	best: 0.9473785 (207)	total: 3.22s	remaining: 12.3s
208:	test: 0.9473862	best: 0.9473862 (208)	total: 3.23s	remaining: 12.2s
209:	test: 0.9473861	best: 0.9473862 (208)	total: 3.25s	remaining: 12.2s
210:	test: 0.9473899	best: 0.9473899 (210)	total: 3.26s	remaining: 12.2s
211:	test: 0.9473972	best: 0.9473972 (211)	total: 3.27s	remaining: 12.2s
212:	test: 0.9474006	best: 0.9474006 (212)	total: 3.28s	remaining: 12.1s
213:	test: 0.9474042	best: 0.9474042 (213)	total: 3.29s	remaining: 12.1s
214:	test: 0.9474042	best: 0.9474042 (213)	total: 3.3s	remaining: 12s
215:	test: 0.9474075	best: 0.9474075 (215)	total: 3.31s	remaining: 12s
216:	test: 0.9474174	best: 0.9474174 (216)	total: 3.33s	remaining: 12s
217:	test: 0.9474351	best: 0.9474351 (217)	total: 3.34s	remaining: 12s
218:	test: 0.9474397	best: 0.9474397 (218)	total: 3.35s	remaining: 12s
219:	test: 0.9474514	best: 0.9474514 (219)	total: 3.37s	remaining: 11.9s
220:	test: 0.9474612	best: 0.9474612 (220)	total: 3.38s	remaining: 11.9s
221:	test: 0.9474774	best: 0.9474774 (221)	total: 3.4s	remaining: 11.9s
222:	test: 0.9474771	best: 0.9474774 (221)	total: 3.41s	remaining: 11.9s
223:	test: 0.9474816	best: 0.9474816 (223)	total: 3.43s	remaining: 11.9s
224:	test: 0.9474873	best: 0.9474873 (224)	total: 3.44s	remaining: 11.9s
225:	test: 0.9474951	best: 0.9474951 (225)	total: 3.45s	remaining: 11.8s
226:	test: 0.9475004	best: 0.9475004 (226)	total: 3.47s	remaining: 11.8s
227:	test: 0.9475155	best: 0.9475155 (227)	total: 3.48s	remaining: 11.8s
228:	test: 0.9475202	best: 0.9475202 (228)	total: 3.49s	remaining: 11.8s
229:	test: 0.9475331	best: 0.9475331 (229)	total: 3.51s	remaining: 11.8s
230:	test: 0.9475404	best: 0.9475404 (230)	total: 3.53s	remaining: 11.7s
231:	test: 0.9475490	best: 0.9475490 (231)	total: 3.54s	remaining: 11.7s
232:	test: 0.9475542	best: 0.9475542 (232)	total: 3.55s	remaining: 11.7s
233:	test: 0.9475583	best: 0.9475583 (233)	total: 3.56s	remaining: 11.7s
234:	test: 0.9475623	best: 0.9475623 (234)	total: 3.58s	remaining: 11.7s
235:	test: 0.9475658	best: 0.9475658 (235)	total: 3.59s	remaining: 11.6s
236:	test: 0.9475690	best: 0.9475690 (236)	total: 3.6s	remaining: 11.6s
237:	test: 0.9475876	best: 0.9475876 (237)	total: 3.62s	remaining: 11.6s
238:	test: 0.9475982	best: 0.9475982 (238)	total: 3.63s	remaining: 11.6s
239:	test: 0.9476011	best: 0.9476011 (239)	total: 3.65s	remaining: 11.5s
240:	test: 0.9476012	best: 0.9476012 (240)	total: 3.66s	remaining: 11.5s
241:	test: 0.9476077	best: 0.9476077 (241)	total: 3.67s	remaining: 11.5s
242:	test: 0.9476121	best: 0.9476121 (242)	total: 3.68s	remaining: 11.5s
243:	test: 0.9476172	best: 0.9476172 (243)	total: 3.7s	remaining: 11.5s
244:	test: 0.9476277	best: 0.9476277 (244)	total: 3.71s	remaining: 11.4s
245:	test: 0.9476277	best: 0.9476277 (245)	total: 3.72s	remaining: 11.4s
246:	test: 0.9476344	best: 0.9476344 (246)	total: 3.73s	remaining: 11.4s
