104:	test: 0.9462510	best: 0.9462510 (104)	total: 608ms	remaining: 5.18s
105:	test: 0.9462486	best: 0.9462510 (104)	total: 613ms	remaining: 5.17s
106:	test: 0.9462552	best: 0.9462552 (106)	total: 618ms	remaining: 5.16s
107:	test: 0.9462552	best: 0.9462552 (106)	total: 622ms	remaining: 5.13s
108:	test: 0.9462553	best: 0.9462553 (108)	total: 627ms	remaining: 5.13s
109:	test: 0.9462553	best: 0.9462553 (108)	total: 631ms	remaining: 5.1s
110:	test: 0.9462785	best: 0.9462785 (110)	total: 636ms	remaining: 5.09s
111:	test: 0.9462787	best: 0.9462787 (111)	total: 640ms	remaining: 5.08s
112:	test: 0.9462722	best: 0.9462787 (111)	total: 646ms	remaining: 5.07s
113:	test: 0.9463127	best: 0.9463127 (113)	total: 651ms	remaining: 5.06s
114:	test: 0.9463217	best: 0.9463217 (114)	total: 657ms	remaining: 5.05s
115:	test: 0.9463217	best: 0.9463217 (115)	total: 660ms	remaining: 5.03s
116:	test: 0.9463596	best: 0.9463596 (116)	total: 667ms	remaining: 5.03s
117:	test: 0.9463882	best: 0.9463882 (117)	total: 672ms	remaining: 5.02s
118:	test: 0.9463993	best: 0.9463993 (118)	total: 678ms	remaining: 5.02s
119:	test: 0.9464218	best: 0.9464218 (119)	total: 684ms	remaining: 5.02s
120:	test: 0.9464187	best: 0.9464218 (119)	total: 690ms	remaining: 5.01s
121:	test: 0.9464342	best: 0.9464342 (121)	total: 695ms	remaining: 5s
122:	test: 0.9464278	best: 0.9464342 (121)	total: 699ms	remaining: 4.98s
123:	test: 0.9464258	best: 0.9464342 (121)	total: 704ms	remaining: 4.97s
124:	test: 0.9464258	best: 0.9464342 (121)	total: 707ms	remaining: 4.95s
125:	test: 0.9464258	best: 0.9464342 (121)	total: 711ms	remaining: 4.93s
126:	test: 0.9464294	best: 0.9464342 (121)	total: 715ms	remaining: 4.91s
127:	test: 0.9464294	best: 0.9464342 (121)	total: 719ms	remaining: 4.89s
128:	test: 0.9464295	best: 0.9464342 (121)	total: 722ms	remaining: 4.87s
129:	test: 0.9464519	best: 0.9464519 (129)	total: 726ms	remaining: 4.86s
130:	test: 0.9464519	best: 0.9464519 (129)	total: 729ms	remaining: 4.83s
131:	test: 0.9464519	best: 0.9464519 (129)	total: 732ms	remaining: 4.81s
132:	test: 0.9464519	best: 0.9464519 (132)	total: 735ms	remaining: 4.79s
133:	test: 0.9464520	best: 0.9464520 (133)	total: 738ms	remaining: 4.77s
134:	test: 0.9464606	best: 0.9464606 (134)	total: 744ms	remaining: 4.76s
135:	test: 0.9464607	best: 0.9464607 (135)	total: 749ms	remaining: 4.75s
136:	test: 0.9464607	best: 0.9464607 (136)	total: 752ms	remaining: 4.74s
137:	test: 0.9464607	best: 0.9464607 (136)	total: 755ms	remaining: 4.72s
138:	test: 0.9464607	best: 0.9464607 (136)	total: 759ms	remaining: 4.7s
139:	test: 0.9464608	best: 0.9464608 (139)	total: 763ms	remaining: 4.69s
140:	test: 0.9464905	best: 0.9464905 (140)	total: 767ms	remaining: 4.67s
141:	test: 0.9464929	best: 0.9464929 (141)	total: 772ms	remaining: 4.66s
142:	test: 0.9464931	best: 0.9464931 (142)	total: 777ms	remaining: 4.65s
143:	test: 0.9464931	best: 0.9464931 (142)	total: 779ms	remaining: 4.63s
144:	test: 0.9464932	best: 0.9464932 (144)	total: 783ms	remaining: 4.61s
145:	test: 0.9464933	best: 0.9464933 (145)	total: 787ms	remaining: 4.6s
146:	test: 0.9464933	best: 0.9464933 (146)	total: 790ms	remaining: 4.58s
147:	test: 0.9464933	best: 0.9464933 (147)	total: 793ms	remaining: 4.57s
148:	test: 0.9464981	best: 0.9464981 (148)	total: 798ms	remaining: 4.56s
149:	test: 0.9464981	best: 0.9464981 (149)	total: 801ms	remaining: 4.54s
150:	test: 0.9464981	best: 0.9464981 (150)	total: 804ms	remaining: 4.52s
151:	test: 0.9464982	best: 0.9464982 (151)	total: 808ms	remaining: 4.5s
152:	test: 0.9464984	best: 0.9464984 (152)	total: 812ms	remaining: 4.5s
153:	test: 0.9464984	best: 0.9464984 (152)	total: 815ms	remaining: 4.48s
154:	test: 0.9464984	best: 0.9464984 (152)	total: 818ms	remaining: 4.46s
155:	test: 0.9464984	best: 0.9464984 (155)	total: 823ms	remaining: 4.45s
156:	test: 0.9464984	best: 0.9464984 (156)	total: 826ms	remaining: 4.43s
157:	test: 0.9464987	best: 0.9464987 (157)	total: 829ms	remaining: 4.42s
158:	test: 0.9464989	best: 0.9464989 (158)	total: 834ms	remaining: 4.41s
159:	test: 0.9464989	best: 0.9464989 (159)	total: 837ms	remaining: 4.39s
160:	test: 0.9464989	best: 0.9464989 (159)	total: 841ms	remaining: 4.38s
161:	test: 0.9465072	best: 0.9465072 (161)	total: 847ms	remaining: 4.38s
162:	test: 0.9465173	best: 0.9465173 (162)	total: 851ms	remaining: 4.37s
163:	test: 0.9465177	best: 0.9465177 (163)	total: 855ms	remaining: 4.36s
164:	test: 0.9465178	best: 0.9465178 (164)	total: 859ms	remaining: 4.35s
165:	test: 0.9465179	best: 0.9465179 (165)	total: 863ms	remaining: 4.33s
166:	test: 0.9465182	best: 0.9465182 (166)	total: 866ms	remaining: 4.32s
167:	test: 0.9465182	best: 0.9465182 (166)	total: 870ms	remaining: 4.31s
168:	test: 0.9465187	best: 0.9465187 (168)	total: 874ms	remaining: 4.3s
169:	test: 0.9465187	best: 0.9465187 (169)	total: 878ms	remaining: 4.28s
170:	test: 0.9465192	best: 0.9465192 (170)	total: 882ms	remaining: 4.27s
171:	test: 0.9465192	best: 0.9465192 (171)	total: 886ms	remaining: 4.26s
172:	test: 0.9465196	best: 0.9465196 (172)	total: 889ms	remaining: 4.25s
173:	test: 0.9465196	best: 0.9465196 (173)	total: 892ms	remaining: 4.23s
174:	test: 0.9465247	best: 0.9465247 (174)	total: 896ms	remaining: 4.22s
175:	test: 0.9465247	best: 0.9465247 (174)	total: 899ms	remaining: 4.21s
176:	test: 0.9465247	best: 0.9465247 (176)	total: 908ms	remaining: 4.22s
177:	test: 0.9465247	best: 0.9465247 (177)	total: 911ms	remaining: 4.21s
178:	test: 0.9465247	best: 0.9465247 (178)	total: 914ms	remaining: 4.19s
179:	test: 0.9465247	best: 0.9465247 (178)	total: 917ms	remaining: 4.18s
180:	test: 0.9465246	best: 0.9465247 (178)	total: 921ms	remaining: 4.17s
181:	test: 0.9465245	best: 0.9465247 (178)	total: 925ms	remaining: 4.16s
182:	test: 0.9465246	best: 0.9465247 (178)	total: 927ms	remaining: 4.14s
183:	test: 0.9465246	best: 0.9465247 (178)	total: 931ms	remaining: 4.13s
184:	test: 0.9465247	best: 0.9465247 (178)	total: 935ms	remaining: 4.12s
185:	test: 0.9465247	best: 0.9465247 (178)	total: 938ms	remaining: 4.1s
186:	test: 0.9465251	best: 0.9465251 (186)	total: 942ms	remaining: 4.1s
187:	test: 0.9465251	best: 0.9465251 (187)	total: 947ms	remaining: 4.09s
188:	test: 0.9465251	best: 0.9465251 (188)	total: 951ms	remaining: 4.08s
189:	test: 0.9465252	best: 0.9465252 (189)	total: 954ms	remaining: 4.07s
190:	test: 0.9465252	best: 0.9465252 (189)	total: 958ms	remaining: 4.06s
191:	test: 0.9465253	best: 0.9465253 (191)	total: 962ms	remaining: 4.05s
192:	test: 0.9465252	best: 0.9465253 (191)	total: 967ms	remaining: 4.04s
193:	test: 0.9465252	best: 0.9465253 (191)	total: 971ms	remaining: 4.03s
194:	test: 0.9465253	best: 0.9465253 (191)	total: 974ms	remaining: 4.02s
195:	test: 0.9465253	best: 0.9465253 (191)	total: 977ms	remaining: 4.01s
196:	test: 0.9465254	best: 0.9465254 (196)	total: 982ms	remaining: 4s
197:	test: 0.9465254	best: 0.9465254 (197)	total: 985ms	remaining: 3.99s
198:	test: 0.9465254	best: 0.9465254 (198)	total: 989ms	remaining: 3.98s
199:	test: 0.9465254	best: 0.9465254 (198)	total: 992ms	remaining: 3.97s
200:	test: 0.9465255	best: 0.9465255 (200)	total: 996ms	remaining: 3.96s
201:	test: 0.9465255	best: 0.9465255 (201)	total: 999ms	remaining: 3.95s
202:	test: 0.9465255	best: 0.9465255 (202)	total: 1s	remaining: 3.93s
203:	test: 0.9465255	best: 0.9465255 (203)	total: 1.01s	remaining: 3.93s
204:	test: 0.9465256	best: 0.9465256 (204)	total: 1.01s	remaining: 3.92s
205:	test: 0.9465256	best: 0.9465256 (205)	total: 1.01s	remaining: 3.9s
206:	test: 0.9465255	best: 0.9465256 (205)	total: 1.02s	remaining: 3.89s
207:	test: 0.9465255	best: 0.9465256 (205)	total: 1.02s	remaining: 3.88s
