167:	test: 0.9300801	best: 0.9300801 (167)	total: 412ms	remaining: 2.04s
168:	test: 0.9301060	best: 0.9301060 (168)	total: 415ms	remaining: 2.04s
169:	test: 0.9301957	best: 0.9301957 (169)	total: 417ms	remaining: 2.04s
170:	test: 0.9301902	best: 0.9301957 (169)	total: 420ms	remaining: 2.03s
171:	test: 0.9302010	best: 0.9302010 (171)	total: 422ms	remaining: 2.03s
172:	test: 0.9302944	best: 0.9302944 (172)	total: 425ms	remaining: 2.03s
173:	test: 0.9303476	best: 0.9303476 (173)	total: 427ms	remaining: 2.03s
174:	test: 0.9304012	best: 0.9304012 (174)	total: 429ms	remaining: 2.02s
175:	test: 0.9304216	best: 0.9304216 (175)	total: 431ms	remaining: 2.02s
176:	test: 0.9305104	best: 0.9305104 (176)	total: 433ms	remaining: 2.01s
177:	test: 0.9305294	best: 0.9305294 (177)	total: 435ms	remaining: 2.01s
178:	test: 0.9305300	best: 0.9305300 (178)	total: 437ms	remaining: 2s
179:	test: 0.9305355	best: 0.9305355 (179)	total: 439ms	remaining: 2s
180:	test: 0.9305476	best: 0.9305476 (180)	total: 441ms	remaining: 2s
181:	test: 0.9306022	best: 0.9306022 (181)	total: 443ms	remaining: 1.99s
182:	test: 0.9306107	best: 0.9306107 (182)	total: 446ms	remaining: 1.99s
183:	test: 0.9306122	best: 0.9306122 (183)	total: 448ms	remaining: 1.99s
184:	test: 0.9306666	best: 0.9306666 (184)	total: 455ms	remaining: 2s
185:	test: 0.9307114	best: 0.9307114 (185)	total: 457ms	remaining: 2s
186:	test: 0.9307004	best: 0.9307114 (185)	total: 459ms	remaining: 2s
187:	test: 0.9307312	best: 0.9307312 (187)	total: 461ms	remaining: 1.99s
188:	test: 0.9308751	best: 0.9308751 (188)	total: 463ms	remaining: 1.99s
189:	test: 0.9308906	best: 0.9308906 (189)	total: 464ms	remaining: 1.98s
190:	test: 0.9309016	best: 0.9309016 (190)	total: 466ms	remaining: 1.98s
191:	test: 0.9309062	best: 0.9309062 (191)	total: 468ms	remaining: 1.97s
192:	test: 0.9309169	best: 0.9309169 (192)	total: 470ms	remaining: 1.97s
193:	test: 0.9309199	best: 0.9309199 (193)	total: 472ms	remaining: 1.96s
194:	test: 0.9309244	best: 0.9309244 (194)	total: 474ms	remaining: 1.96s
195:	test: 0.9309322	best: 0.9309322 (195)	total: 476ms	remaining: 1.95s
196:	test: 0.9309208	best: 0.9309322 (195)	total: 479ms	remaining: 1.95s
197:	test: 0.9309233	best: 0.9309322 (195)	total: 482ms	remaining: 1.95s
198:	test: 0.9309425	best: 0.9309425 (198)	total: 484ms	remaining: 1.95s
199:	test: 0.9310048	best: 0.9310048 (199)	total: 486ms	remaining: 1.95s
200:	test: 0.9310190	best: 0.9310190 (200)	total: 489ms	remaining: 1.94s
201:	test: 0.9310311	best: 0.9310311 (201)	total: 491ms	remaining: 1.94s
202:	test: 0.9310393	best: 0.9310393 (202)	total: 494ms	remaining: 1.94s
203:	test: 0.9310766	best: 0.9310766 (203)	total: 496ms	remaining: 1.93s
204:	test: 0.9310855	best: 0.9310855 (204)	total: 498ms	remaining: 1.93s
205:	test: 0.9310752	best: 0.9310855 (204)	total: 500ms	remaining: 1.93s
206:	test: 0.9310809	best: 0.9310855 (204)	total: 503ms	remaining: 1.93s
207:	test: 0.9311128	best: 0.9311128 (207)	total: 505ms	remaining: 1.92s
208:	test: 0.9311076	best: 0.9311128 (207)	total: 507ms	remaining: 1.92s
