220:	test: 0.9439532	best: 0.9439532 (217)	total: 866ms	remaining: 3.05s
221:	test: 0.9439532	best: 0.9439532 (217)	total: 869ms	remaining: 3.05s
222:	test: 0.9439532	best: 0.9439532 (217)	total: 872ms	remaining: 3.04s
223:	test: 0.9439531	best: 0.9439532 (217)	total: 875ms	remaining: 3.03s
224:	test: 0.9439531	best: 0.9439532 (217)	total: 879ms	remaining: 3.03s
225:	test: 0.9439531	best: 0.9439532 (217)	total: 881ms	remaining: 3.02s
226:	test: 0.9439532	best: 0.9439532 (217)	total: 884ms	remaining: 3.01s
227:	test: 0.9439532	best: 0.9439532 (217)	total: 888ms	remaining: 3s
228:	test: 0.9439532	best: 0.9439532 (217)	total: 890ms	remaining: 3s
229:	test: 0.9439756	best: 0.9439756 (229)	total: 893ms	remaining: 2.99s
230:	test: 0.9439812	best: 0.9439812 (230)	total: 897ms	remaining: 2.99s
231:	test: 0.9439812	best: 0.9439812 (230)	total: 900ms	remaining: 2.98s
232:	test: 0.9439812	best: 0.9439812 (230)	total: 903ms	remaining: 2.97s
233:	test: 0.9439812	best: 0.9439812 (230)	total: 906ms	remaining: 2.96s
234:	test: 0.9439811	best: 0.9439812 (230)	total: 909ms	remaining: 2.96s
235:	test: 0.9439811	best: 0.9439812 (230)	total: 912ms	remaining: 2.95s
236:	test: 0.9439811	best: 0.9439812 (230)	total: 915ms	remaining: 2.94s
237:	test: 0.9439810	best: 0.9439812 (230)	total: 918ms	remaining: 2.94s
238:	test: 0.9439810	best: 0.9439812 (230)	total: 921ms	remaining: 2.93s
239:	test: 0.9439810	best: 0.9439812 (230)	total: 924ms	remaining: 2.92s
240:	test: 0.9439811	best: 0.9439812 (230)	total: 927ms	remaining: 2.92s
241:	test: 0.9439811	best: 0.9439812 (230)	total: 929ms	remaining: 2.91s
242:	test: 0.9439811	best: 0.9439812 (230)	total: 933ms	remaining: 2.9s
243:	test: 0.9439811	best: 0.9439812 (230)	total: 936ms	remaining: 2.9s
244:	test: 0.9439810	best: 0.9439812 (230)	total: 939ms	remaining: 2.89s
245:	test: 0.9439810	best: 0.9439812 (230)	total: 943ms	remaining: 2.89s
246:	test: 0.9439810	best: 0.9439812 (230)	total: 946ms	remaining: 2.88s
247:	test: 0.9439810	best: 0.9439812 (230)	total: 949ms	remaining: 2.88s
248:	test: 0.9439810	best: 0.9439812 (230)	total: 952ms	remaining: 2.87s
249:	test: 0.9439810	best: 0.9439812 (230)	total: 956ms	remaining: 2.87s
250:	test: 0.9439810	best: 0.9439812 (230)	total: 959ms	remaining: 2.86s
Stopped by overfitting detector  (20 iterations wait)
bestTest = 0.9439812361
bestIteration = 230
Shrink model to first 231 iterations.
[34m[1mwandb[39m[22m: Adding directory to artifact (./artifacts)... Done. 0.0s
