126:	test: 0.9474871	best: 0.9474871 (126)	total: 1.14s	remaining: 7.85s
127:	test: 0.9474932	best: 0.9474932 (127)	total: 1.15s	remaining: 7.84s
128:	test: 0.9474931	best: 0.9474932 (127)	total: 1.16s	remaining: 7.8s
129:	test: 0.9474931	best: 0.9474932 (127)	total: 1.16s	remaining: 7.75s
130:	test: 0.9474772	best: 0.9474932 (127)	total: 1.17s	remaining: 7.75s
131:	test: 0.9474773	best: 0.9474932 (127)	total: 1.17s	remaining: 7.72s
132:	test: 0.9474763	best: 0.9474932 (127)	total: 1.18s	remaining: 7.72s
133:	test: 0.9474846	best: 0.9474932 (127)	total: 1.19s	remaining: 7.72s
134:	test: 0.9474846	best: 0.9474932 (127)	total: 1.2s	remaining: 7.68s
135:	test: 0.9474833	best: 0.9474932 (127)	total: 1.21s	remaining: 7.68s
136:	test: 0.9475004	best: 0.9475004 (136)	total: 1.22s	remaining: 7.69s
137:	test: 0.9475004	best: 0.9475004 (136)	total: 1.22s	remaining: 7.64s
138:	test: 0.9475163	best: 0.9475163 (138)	total: 1.23s	remaining: 7.64s
139:	test: 0.9475134	best: 0.9475163 (138)	total: 1.24s	remaining: 7.63s
140:	test: 0.9475113	best: 0.9475163 (138)	total: 1.25s	remaining: 7.63s
141:	test: 0.9475181	best: 0.9475181 (141)	total: 1.26s	remaining: 7.63s
142:	test: 0.9475335	best: 0.9475335 (142)	total: 1.27s	remaining: 7.63s
143:	test: 0.9475526	best: 0.9475526 (143)	total: 1.28s	remaining: 7.62s
144:	test: 0.9475697	best: 0.9475697 (144)	total: 1.29s	remaining: 7.62s
145:	test: 0.9475809	best: 0.9475809 (145)	total: 1.3s	remaining: 7.62s
146:	test: 0.9475833	best: 0.9475833 (146)	total: 1.31s	remaining: 7.61s
147:	test: 0.9475955	best: 0.9475955 (147)	total: 1.32s	remaining: 7.61s
148:	test: 0.9476047	best: 0.9476047 (148)	total: 1.33s	remaining: 7.61s
149:	test: 0.9476075	best: 0.9476075 (149)	total: 1.34s	remaining: 7.61s
150:	test: 0.9476044	best: 0.9476075 (149)	total: 1.35s	remaining: 7.61s
151:	test: 0.9476274	best: 0.9476274 (151)	total: 1.36s	remaining: 7.61s
152:	test: 0.9476253	best: 0.9476274 (151)	total: 1.37s	remaining: 7.6s
153:	test: 0.9476273	best: 0.9476274 (151)	total: 1.38s	remaining: 7.6s
154:	test: 0.9476576	best: 0.9476576 (154)	total: 1.39s	remaining: 7.6s
