110:	test: 0.9458380	best: 0.9458380 (110)	total: 634ms	remaining: 5.08s
111:	test: 0.9458642	best: 0.9458642 (111)	total: 640ms	remaining: 5.07s
112:	test: 0.9458762	best: 0.9458762 (112)	total: 645ms	remaining: 5.06s
113:	test: 0.9459250	best: 0.9459250 (113)	total: 651ms	remaining: 5.05s
114:	test: 0.9459249	best: 0.9459250 (113)	total: 656ms	remaining: 5.05s
115:	test: 0.9459419	best: 0.9459419 (115)	total: 662ms	remaining: 5.04s
116:	test: 0.9459569	best: 0.9459569 (116)	total: 667ms	remaining: 5.03s
117:	test: 0.9459753	best: 0.9459753 (117)	total: 672ms	remaining: 5.03s
118:	test: 0.9459878	best: 0.9459878 (118)	total: 677ms	remaining: 5.01s
119:	test: 0.9459999	best: 0.9459999 (119)	total: 682ms	remaining: 5s
120:	test: 0.9460457	best: 0.9460457 (120)	total: 687ms	remaining: 4.99s
121:	test: 0.9460705	best: 0.9460705 (121)	total: 692ms	remaining: 4.98s
122:	test: 0.9460820	best: 0.9460820 (122)	total: 697ms	remaining: 4.97s
123:	test: 0.9460958	best: 0.9460958 (123)	total: 702ms	remaining: 4.96s
124:	test: 0.9460958	best: 0.9460958 (123)	total: 708ms	remaining: 4.95s
125:	test: 0.9460958	best: 0.9460958 (123)	total: 712ms	remaining: 4.94s
126:	test: 0.9460958	best: 0.9460958 (123)	total: 716ms	remaining: 4.92s
127:	test: 0.9460957	best: 0.9460958 (123)	total: 723ms	remaining: 4.92s
128:	test: 0.9461237	best: 0.9461237 (128)	total: 728ms	remaining: 4.91s
129:	test: 0.9461236	best: 0.9461237 (128)	total: 732ms	remaining: 4.9s
130:	test: 0.9461390	best: 0.9461390 (130)	total: 737ms	remaining: 4.89s
131:	test: 0.9461429	best: 0.9461429 (131)	total: 743ms	remaining: 4.88s
132:	test: 0.9461681	best: 0.9461681 (132)	total: 748ms	remaining: 4.87s
133:	test: 0.9461681	best: 0.9461681 (133)	total: 752ms	remaining: 4.86s
134:	test: 0.9461838	best: 0.9461838 (134)	total: 757ms	remaining: 4.85s
135:	test: 0.9461863	best: 0.9461863 (135)	total: 762ms	remaining: 4.84s
136:	test: 0.9461876	best: 0.9461876 (136)	total: 767ms	remaining: 4.83s
137:	test: 0.9461967	best: 0.9461967 (137)	total: 773ms	remaining: 4.83s
138:	test: 0.9462211	best: 0.9462211 (138)	total: 778ms	remaining: 4.82s
139:	test: 0.9462351	best: 0.9462351 (139)	total: 784ms	remaining: 4.81s
140:	test: 0.9462517	best: 0.9462517 (140)	total: 789ms	remaining: 4.8s
141:	test: 0.9462735	best: 0.9462735 (141)	total: 794ms	remaining: 4.8s
142:	test: 0.9462923	best: 0.9462923 (142)	total: 799ms	remaining: 4.79s
143:	test: 0.9462998	best: 0.9462998 (143)	total: 805ms	remaining: 4.78s
144:	test: 0.9463195	best: 0.9463195 (144)	total: 810ms	remaining: 4.77s
145:	test: 0.9463449	best: 0.9463449 (145)	total: 815ms	remaining: 4.77s
146:	test: 0.9463586	best: 0.9463586 (146)	total: 821ms	remaining: 4.77s
147:	test: 0.9463587	best: 0.9463587 (147)	total: 827ms	remaining: 4.76s
148:	test: 0.9463587	best: 0.9463587 (147)	total: 833ms	remaining: 4.76s
149:	test: 0.9463585	best: 0.9463587 (147)	total: 838ms	remaining: 4.75s
150:	test: 0.9463789	best: 0.9463789 (150)	total: 843ms	remaining: 4.74s
151:	test: 0.9463789	best: 0.9463789 (150)	total: 848ms	remaining: 4.73s
152:	test: 0.9463910	best: 0.9463910 (152)	total: 853ms	remaining: 4.72s
153:	test: 0.9464014	best: 0.9464014 (153)	total: 858ms	remaining: 4.71s
154:	test: 0.9464013	best: 0.9464014 (153)	total: 862ms	remaining: 4.7s
155:	test: 0.9464166	best: 0.9464166 (155)	total: 868ms	remaining: 4.69s
156:	test: 0.9464166	best: 0.9464166 (155)	total: 871ms	remaining: 4.68s
157:	test: 0.9464166	best: 0.9464166 (155)	total: 876ms	remaining: 4.67s
158:	test: 0.9464269	best: 0.9464269 (158)	total: 881ms	remaining: 4.66s
159:	test: 0.9464306	best: 0.9464306 (159)	total: 886ms	remaining: 4.65s
160:	test: 0.9464374	best: 0.9464374 (160)	total: 891ms	remaining: 4.64s
161:	test: 0.9464373	best: 0.9464374 (160)	total: 897ms	remaining: 4.64s
162:	test: 0.9464508	best: 0.9464508 (162)	total: 902ms	remaining: 4.63s
163:	test: 0.9464700	best: 0.9464700 (163)	total: 907ms	remaining: 4.62s
164:	test: 0.9464847	best: 0.9464847 (164)	total: 911ms	remaining: 4.61s
165:	test: 0.9464928	best: 0.9464928 (165)	total: 916ms	remaining: 4.6s
166:	test: 0.9464928	best: 0.9464928 (165)	total: 920ms	remaining: 4.59s
167:	test: 0.9464977	best: 0.9464977 (167)	total: 925ms	remaining: 4.58s
168:	test: 0.9464975	best: 0.9464977 (167)	total: 929ms	remaining: 4.57s
169:	test: 0.9465233	best: 0.9465233 (169)	total: 934ms	remaining: 4.56s
170:	test: 0.9465231	best: 0.9465233 (169)	total: 939ms	remaining: 4.55s
171:	test: 0.9465543	best: 0.9465543 (171)	total: 945ms	remaining: 4.55s
172:	test: 0.9465660	best: 0.9465660 (172)	total: 950ms	remaining: 4.54s
173:	test: 0.9465760	best: 0.9465760 (173)	total: 956ms	remaining: 4.54s
174:	test: 0.9465923	best: 0.9465923 (174)	total: 961ms	remaining: 4.53s
175:	test: 0.9465923	best: 0.9465923 (175)	total: 965ms	remaining: 4.52s
176:	test: 0.9466044	best: 0.9466044 (176)	total: 970ms	remaining: 4.51s
177:	test: 0.9466044	best: 0.9466044 (176)	total: 975ms	remaining: 4.5s
178:	test: 0.9466082	best: 0.9466082 (178)	total: 980ms	remaining: 4.49s
179:	test: 0.9466102	best: 0.9466102 (179)	total: 985ms	remaining: 4.49s
180:	test: 0.9466082	best: 0.9466102 (179)	total: 989ms	remaining: 4.47s
181:	test: 0.9466198	best: 0.9466198 (181)	total: 994ms	remaining: 4.47s
182:	test: 0.9466380	best: 0.9466380 (182)	total: 999ms	remaining: 4.46s
183:	test: 0.9466380	best: 0.9466380 (182)	total: 1s	remaining: 4.45s
184:	test: 0.9466448	best: 0.9466448 (184)	total: 1.01s	remaining: 4.44s
185:	test: 0.9466483	best: 0.9466483 (185)	total: 1.01s	remaining: 4.44s
186:	test: 0.9466631	best: 0.9466631 (186)	total: 1.02s	remaining: 4.43s
