148:	test: 0.8025869	best: 0.8025869 (148)	total: 7.82s	remaining: 44.7s
149:	test: 0.8025902	best: 0.8025902 (149)	total: 7.88s	remaining: 44.6s
150:	test: 0.8026151	best: 0.8026151 (150)	total: 7.93s	remaining: 44.6s
151:	test: 0.8026271	best: 0.8026271 (151)	total: 7.98s	remaining: 44.5s
152:	test: 0.8026381	best: 0.8026381 (152)	total: 8.03s	remaining: 44.5s
153:	test: 0.8026572	best: 0.8026572 (153)	total: 8.08s	remaining: 44.4s
154:	test: 0.8026978	best: 0.8026978 (154)	total: 8.13s	remaining: 44.3s
155:	test: 0.8026986	best: 0.8026986 (155)	total: 8.17s	remaining: 44.2s
156:	test: 0.8027218	best: 0.8027218 (156)	total: 8.23s	remaining: 44.2s
157:	test: 0.8027413	best: 0.8027413 (157)	total: 8.28s	remaining: 44.1s
158:	test: 0.8027448	best: 0.8027448 (158)	total: 8.33s	remaining: 44s
159:	test: 0.8027641	best: 0.8027641 (159)	total: 8.38s	remaining: 44s
160:	test: 0.8027871	best: 0.8027871 (160)	total: 8.43s	remaining: 44s
161:	test: 0.8027884	best: 0.8027884 (161)	total: 8.48s	remaining: 43.9s
162:	test: 0.8027945	best: 0.8027945 (162)	total: 8.53s	remaining: 43.8s
163:	test: 0.8028132	best: 0.8028132 (163)	total: 8.58s	remaining: 43.7s
164:	test: 0.8028317	best: 0.8028317 (164)	total: 8.63s	remaining: 43.7s
165:	test: 0.8028327	best: 0.8028327 (165)	total: 8.68s	remaining: 43.6s
166:	test: 0.8028262	best: 0.8028327 (165)	total: 8.73s	remaining: 43.6s
167:	test: 0.8028193	best: 0.8028327 (165)	total: 8.78s	remaining: 43.5s
168:	test: 0.8028478	best: 0.8028478 (168)	total: 8.83s	remaining: 43.4s
169:	test: 0.8028497	best: 0.8028497 (169)	total: 8.88s	remaining: 43.4s
170:	test: 0.8028798	best: 0.8028798 (170)	total: 8.93s	remaining: 43.3s
