260:	test: 0.9481678	best: 0.9481679 (254)	total: 1.16s	remaining: 3.28s
261:	test: 0.9481678	best: 0.9481679 (254)	total: 1.16s	remaining: 3.27s
262:	test: 0.9481681	best: 0.9481681 (262)	total: 1.17s	remaining: 3.27s
263:	test: 0.9481680	best: 0.9481681 (262)	total: 1.17s	remaining: 3.26s
264:	test: 0.9481680	best: 0.9481681 (262)	total: 1.17s	remaining: 3.25s
265:	test: 0.9481680	best: 0.9481681 (262)	total: 1.18s	remaining: 3.25s
266:	test: 0.9481680	best: 0.9481681 (262)	total: 1.18s	remaining: 3.24s
267:	test: 0.9481681	best: 0.9481681 (267)	total: 1.18s	remaining: 3.23s
268:	test: 0.9481681	best: 0.9481681 (268)	total: 1.19s	remaining: 3.23s
269:	test: 0.9481681	best: 0.9481681 (268)	total: 1.19s	remaining: 3.22s
270:	test: 0.9481681	best: 0.9481681 (270)	total: 1.2s	remaining: 3.22s
271:	test: 0.9481681	best: 0.9481681 (270)	total: 1.2s	remaining: 3.21s
272:	test: 0.9481681	best: 0.9481681 (272)	total: 1.2s	remaining: 3.21s
273:	test: 0.9481681	best: 0.9481681 (272)	total: 1.21s	remaining: 3.2s
274:	test: 0.9481682	best: 0.9481682 (274)	total: 1.21s	remaining: 3.19s
275:	test: 0.9481794	best: 0.9481794 (275)	total: 1.22s	remaining: 3.19s
276:	test: 0.9481794	best: 0.9481794 (276)	total: 1.22s	remaining: 3.18s
277:	test: 0.9481793	best: 0.9481794 (276)	total: 1.22s	remaining: 3.18s
278:	test: 0.9481911	best: 0.9481911 (278)	total: 1.23s	remaining: 3.17s
279:	test: 0.9482032	best: 0.9482032 (279)	total: 1.23s	remaining: 3.17s
280:	test: 0.9482274	best: 0.9482274 (280)	total: 1.24s	remaining: 3.17s
281:	test: 0.9482273	best: 0.9482274 (280)	total: 1.24s	remaining: 3.16s
282:	test: 0.9482279	best: 0.9482279 (282)	total: 1.25s	remaining: 3.16s
283:	test: 0.9482278	best: 0.9482279 (282)	total: 1.25s	remaining: 3.15s
284:	test: 0.9482278	best: 0.9482279 (282)	total: 1.25s	remaining: 3.15s
285:	test: 0.9482277	best: 0.9482279 (282)	total: 1.26s	remaining: 3.15s
286:	test: 0.9482334	best: 0.9482334 (286)	total: 1.26s	remaining: 3.14s
287:	test: 0.9482333	best: 0.9482334 (286)	total: 1.27s	remaining: 3.14s
288:	test: 0.9482466	best: 0.9482466 (288)	total: 1.27s	remaining: 3.13s
289:	test: 0.9482693	best: 0.9482693 (289)	total: 1.28s	remaining: 3.13s
290:	test: 0.9482694	best: 0.9482694 (290)	total: 1.28s	remaining: 3.12s
291:	test: 0.9482792	best: 0.9482792 (291)	total: 1.29s	remaining: 3.12s
292:	test: 0.9482791	best: 0.9482792 (291)	total: 1.29s	remaining: 3.11s
293:	test: 0.9482789	best: 0.9482792 (291)	total: 1.29s	remaining: 3.11s
294:	test: 0.9482809	best: 0.9482809 (294)	total: 1.3s	remaining: 3.1s
295:	test: 0.9482808	best: 0.9482809 (294)	total: 1.3s	remaining: 3.1s
296:	test: 0.9482808	best: 0.9482809 (294)	total: 1.31s	remaining: 3.09s
297:	test: 0.9482806	best: 0.9482809 (294)	total: 1.31s	remaining: 3.09s
298:	test: 0.9482805	best: 0.9482809 (294)	total: 1.32s	remaining: 3.08s
