102:	test: 0.9371534	best: 0.9371534 (102)	total: 379ms	remaining: 3.3s
103:	test: 0.9371543	best: 0.9371543 (103)	total: 383ms	remaining: 3.3s
104:	test: 0.9371556	best: 0.9371556 (104)	total: 386ms	remaining: 3.29s
105:	test: 0.9372029	best: 0.9372029 (105)	total: 389ms	remaining: 3.28s
106:	test: 0.9373435	best: 0.9373435 (106)	total: 392ms	remaining: 3.27s
107:	test: 0.9373434	best: 0.9373435 (106)	total: 396ms	remaining: 3.27s
108:	test: 0.9373685	best: 0.9373685 (108)	total: 399ms	remaining: 3.26s
109:	test: 0.9374325	best: 0.9374325 (109)	total: 402ms	remaining: 3.25s
110:	test: 0.9374335	best: 0.9374335 (110)	total: 405ms	remaining: 3.24s
111:	test: 0.9374346	best: 0.9374346 (111)	total: 408ms	remaining: 3.24s
112:	test: 0.9374687	best: 0.9374687 (112)	total: 412ms	remaining: 3.23s
113:	test: 0.9374799	best: 0.9374799 (113)	total: 415ms	remaining: 3.22s
114:	test: 0.9374808	best: 0.9374808 (114)	total: 418ms	remaining: 3.21s
115:	test: 0.9375315	best: 0.9375315 (115)	total: 421ms	remaining: 3.21s
116:	test: 0.9375449	best: 0.9375449 (116)	total: 424ms	remaining: 3.2s
117:	test: 0.9375443	best: 0.9375449 (116)	total: 427ms	remaining: 3.19s
118:	test: 0.9375451	best: 0.9375451 (118)	total: 430ms	remaining: 3.18s
119:	test: 0.9375449	best: 0.9375451 (118)	total: 434ms	remaining: 3.18s
120:	test: 0.9376572	best: 0.9376572 (120)	total: 437ms	remaining: 3.17s
121:	test: 0.9376578	best: 0.9376578 (121)	total: 440ms	remaining: 3.16s
122:	test: 0.9377005	best: 0.9377005 (122)	total: 443ms	remaining: 3.16s
123:	test: 0.9377002	best: 0.9377005 (122)	total: 446ms	remaining: 3.15s
124:	test: 0.9377001	best: 0.9377005 (122)	total: 449ms	remaining: 3.15s
125:	test: 0.9378099	best: 0.9378099 (125)	total: 452ms	remaining: 3.14s
126:	test: 0.9378099	best: 0.9378099 (125)	total: 457ms	remaining: 3.14s
127:	test: 0.9378109	best: 0.9378109 (127)	total: 460ms	remaining: 3.13s
128:	test: 0.9378018	best: 0.9378109 (127)	total: 463ms	remaining: 3.13s
129:	test: 0.9378026	best: 0.9378109 (127)	total: 466ms	remaining: 3.12s
130:	test: 0.9378024	best: 0.9378109 (127)	total: 469ms	remaining: 3.11s
131:	test: 0.9378024	best: 0.9378109 (127)	total: 473ms	remaining: 3.11s
132:	test: 0.9378478	best: 0.9378478 (132)	total: 476ms	remaining: 3.1s
