164:	test: 0.9472030	best: 0.9472030 (164)	total: 771ms	remaining: 3.9s
165:	test: 0.9472002	best: 0.9472030 (164)	total: 776ms	remaining: 3.9s
166:	test: 0.9472099	best: 0.9472099 (166)	total: 780ms	remaining: 3.89s
167:	test: 0.9472099	best: 0.9472099 (167)	total: 783ms	remaining: 3.88s
168:	test: 0.9472231	best: 0.9472231 (168)	total: 788ms	remaining: 3.88s
169:	test: 0.9472231	best: 0.9472231 (168)	total: 791ms	remaining: 3.86s
170:	test: 0.9472286	best: 0.9472286 (170)	total: 795ms	remaining: 3.86s
171:	test: 0.9472409	best: 0.9472409 (171)	total: 800ms	remaining: 3.85s
172:	test: 0.9472576	best: 0.9472576 (172)	total: 804ms	remaining: 3.85s
173:	test: 0.9472604	best: 0.9472604 (173)	total: 808ms	remaining: 3.84s
174:	test: 0.9472646	best: 0.9472646 (174)	total: 813ms	remaining: 3.83s
175:	test: 0.9472695	best: 0.9472695 (175)	total: 817ms	remaining: 3.83s
176:	test: 0.9472798	best: 0.9472798 (176)	total: 821ms	remaining: 3.82s
177:	test: 0.9472879	best: 0.9472879 (177)	total: 825ms	remaining: 3.81s
178:	test: 0.9472997	best: 0.9472997 (178)	total: 829ms	remaining: 3.8s
179:	test: 0.9473095	best: 0.9473095 (179)	total: 834ms	remaining: 3.8s
180:	test: 0.9473254	best: 0.9473254 (180)	total: 838ms	remaining: 3.79s
181:	test: 0.9473279	best: 0.9473279 (181)	total: 842ms	remaining: 3.78s
182:	test: 0.9473383	best: 0.9473383 (182)	total: 846ms	remaining: 3.78s
183:	test: 0.9473413	best: 0.9473413 (183)	total: 850ms	remaining: 3.77s
184:	test: 0.9473414	best: 0.9473414 (184)	total: 854ms	remaining: 3.76s
185:	test: 0.9473436	best: 0.9473436 (185)	total: 859ms	remaining: 3.76s
186:	test: 0.9473637	best: 0.9473637 (186)	total: 862ms	remaining: 3.75s
187:	test: 0.9473651	best: 0.9473651 (187)	total: 867ms	remaining: 3.74s
188:	test: 0.9473664	best: 0.9473664 (188)	total: 871ms	remaining: 3.74s
189:	test: 0.9473634	best: 0.9473664 (188)	total: 875ms	remaining: 3.73s
190:	test: 0.9473705	best: 0.9473705 (190)	total: 879ms	remaining: 3.72s
191:	test: 0.9473792	best: 0.9473792 (191)	total: 884ms	remaining: 3.72s
192:	test: 0.9473925	best: 0.9473925 (192)	total: 888ms	remaining: 3.71s
193:	test: 0.9473973	best: 0.9473973 (193)	total: 893ms	remaining: 3.71s
194:	test: 0.9474066	best: 0.9474066 (194)	total: 897ms	remaining: 3.7s
195:	test: 0.9474084	best: 0.9474084 (195)	total: 900ms	remaining: 3.69s
196:	test: 0.9474207	best: 0.9474207 (196)	total: 906ms	remaining: 3.69s
197:	test: 0.9474286	best: 0.9474286 (197)	total: 910ms	remaining: 3.69s
198:	test: 0.9474287	best: 0.9474287 (198)	total: 913ms	remaining: 3.67s
199:	test: 0.9474365	best: 0.9474365 (199)	total: 919ms	remaining: 3.67s
200:	test: 0.9474416	best: 0.9474416 (200)	total: 923ms	remaining: 3.67s
201:	test: 0.9474432	best: 0.9474432 (201)	total: 927ms	remaining: 3.66s
202:	test: 0.9474432	best: 0.9474432 (202)	total: 936ms	remaining: 3.67s
203:	test: 0.9474694	best: 0.9474694 (203)	total: 940ms	remaining: 3.67s
204:	test: 0.9474755	best: 0.9474755 (204)	total: 944ms	remaining: 3.66s
205:	test: 0.9474836	best: 0.9474836 (205)	total: 949ms	remaining: 3.66s
206:	test: 0.9474945	best: 0.9474945 (206)	total: 953ms	remaining: 3.65s
207:	test: 0.9475069	best: 0.9475069 (207)	total: 957ms	remaining: 3.65s
208:	test: 0.9475230	best: 0.9475230 (208)	total: 962ms	remaining: 3.64s
209:	test: 0.9475266	best: 0.9475266 (209)	total: 966ms	remaining: 3.63s
210:	test: 0.9475388	best: 0.9475388 (210)	total: 970ms	remaining: 3.63s
211:	test: 0.9475405	best: 0.9475405 (211)	total: 975ms	remaining: 3.62s
212:	test: 0.9475552	best: 0.9475552 (212)	total: 979ms	remaining: 3.62s
213:	test: 0.9475553	best: 0.9475553 (213)	total: 983ms	remaining: 3.61s
214:	test: 0.9475616	best: 0.9475616 (214)	total: 987ms	remaining: 3.6s
215:	test: 0.9475616	best: 0.9475616 (214)	total: 990ms	remaining: 3.59s
216:	test: 0.9475580	best: 0.9475616 (214)	total: 995ms	remaining: 3.59s
217:	test: 0.9475578	best: 0.9475616 (214)	total: 999ms	remaining: 3.58s
218:	test: 0.9475578	best: 0.9475616 (214)	total: 1s	remaining: 3.57s
219:	test: 0.9475627	best: 0.9475627 (219)	total: 1.01s	remaining: 3.57s
220:	test: 0.9475587	best: 0.9475627 (219)	total: 1.01s	remaining: 3.57s
221:	test: 0.9475710	best: 0.9475710 (221)	total: 1.02s	remaining: 3.56s
222:	test: 0.9475724	best: 0.9475724 (222)	total: 1.02s	remaining: 3.56s
223:	test: 0.9475729	best: 0.9475729 (223)	total: 1.02s	remaining: 3.55s
224:	test: 0.9475729	best: 0.9475729 (224)	total: 1.03s	remaining: 3.54s
225:	test: 0.9475714	best: 0.9475729 (224)	total: 1.03s	remaining: 3.54s
226:	test: 0.9475715	best: 0.9475729 (224)	total: 1.04s	remaining: 3.53s
227:	test: 0.9475752	best: 0.9475752 (227)	total: 1.04s	remaining: 3.52s
228:	test: 0.9475752	best: 0.9475752 (227)	total: 1.04s	remaining: 3.52s
229:	test: 0.9476042	best: 0.9476042 (229)	total: 1.05s	remaining: 3.51s
230:	test: 0.9476040	best: 0.9476042 (229)	total: 1.05s	remaining: 3.5s
231:	test: 0.9476040	best: 0.9476042 (229)	total: 1.06s	remaining: 3.5s
232:	test: 0.9476087	best: 0.9476087 (232)	total: 1.06s	remaining: 3.49s
233:	test: 0.9476111	best: 0.9476111 (233)	total: 1.06s	remaining: 3.48s
234:	test: 0.9476111	best: 0.9476111 (233)	total: 1.07s	remaining: 3.48s
235:	test: 0.9476086	best: 0.9476111 (233)	total: 1.07s	remaining: 3.47s
236:	test: 0.9476151	best: 0.9476151 (236)	total: 1.08s	remaining: 3.47s
237:	test: 0.9476151	best: 0.9476151 (236)	total: 1.08s	remaining: 3.46s
238:	test: 0.9476152	best: 0.9476152 (238)	total: 1.08s	remaining: 3.45s
239:	test: 0.9476196	best: 0.9476196 (239)	total: 1.09s	remaining: 3.45s
240:	test: 0.9476282	best: 0.9476282 (240)	total: 1.09s	remaining: 3.44s
241:	test: 0.9476283	best: 0.9476283 (241)	total: 1.1s	remaining: 3.44s
242:	test: 0.9476328	best: 0.9476328 (242)	total: 1.1s	remaining: 3.43s
243:	test: 0.9476326	best: 0.9476328 (242)	total: 1.1s	remaining: 3.43s
244:	test: 0.9476326	best: 0.9476328 (242)	total: 1.11s	remaining: 3.42s
245:	test: 0.9476410	best: 0.9476410 (245)	total: 1.11s	remaining: 3.41s
246:	test: 0.9476443	best: 0.9476443 (246)	total: 1.12s	remaining: 3.41s
247:	test: 0.9476530	best: 0.9476530 (247)	total: 1.12s	remaining: 3.4s
248:	test: 0.9476531	best: 0.9476531 (248)	total: 1.13s	remaining: 3.39s
249:	test: 0.9476530	best: 0.9476531 (248)	total: 1.13s	remaining: 3.39s
250:	test: 0.9476530	best: 0.9476531 (248)	total: 1.13s	remaining: 3.38s
251:	test: 0.9476530	best: 0.9476531 (248)	total: 1.14s	remaining: 3.37s
252:	test: 0.9476606	best: 0.9476606 (252)	total: 1.14s	remaining: 3.37s
253:	test: 0.9476606	best: 0.9476606 (253)	total: 1.14s	remaining: 3.36s
254:	test: 0.9476606	best: 0.9476606 (253)	total: 1.15s	remaining: 3.35s
255:	test: 0.9476605	best: 0.9476606 (253)	total: 1.15s	remaining: 3.35s
256:	test: 0.9476605	best: 0.9476606 (253)	total: 1.16s	remaining: 3.34s
257:	test: 0.9476606	best: 0.9476606 (253)	total: 1.16s	remaining: 3.34s
258:	test: 0.9476605	best: 0.9476606 (253)	total: 1.16s	remaining: 3.33s
259:	test: 0.9476627	best: 0.9476627 (259)	total: 1.17s	remaining: 3.33s
260:	test: 0.9476553	best: 0.9476627 (259)	total: 1.17s	remaining: 3.32s
261:	test: 0.9476643	best: 0.9476643 (261)	total: 1.18s	remaining: 3.31s
262:	test: 0.9476699	best: 0.9476699 (262)	total: 1.18s	remaining: 3.31s
263:	test: 0.9476738	best: 0.9476738 (263)	total: 1.18s	remaining: 3.3s
264:	test: 0.9476738	best: 0.9476738 (263)	total: 1.19s	remaining: 3.29s
265:	test: 0.9476787	best: 0.9476787 (265)	total: 1.19s	remaining: 3.29s
266:	test: 0.9476734	best: 0.9476787 (265)	total: 1.2s	remaining: 3.28s
267:	test: 0.9476734	best: 0.9476787 (265)	total: 1.2s	remaining: 3.28s
268:	test: 0.9476734	best: 0.9476787 (265)	total: 1.2s	remaining: 3.27s
269:	test: 0.9476734	best: 0.9476787 (265)	total: 1.21s	remaining: 3.27s
270:	test: 0.9476735	best: 0.9476787 (265)	total: 1.21s	remaining: 3.26s
271:	test: 0.9476735	best: 0.9476787 (265)	total: 1.22s	remaining: 3.25s
272:	test: 0.9476734	best: 0.9476787 (265)	total: 1.22s	remaining: 3.24s
273:	test: 0.9476794	best: 0.9476794 (273)	total: 1.22s	remaining: 3.24s
274:	test: 0.9476793	best: 0.9476794 (273)	total: 1.23s	remaining: 3.23s
275:	test: 0.9476794	best: 0.9476794 (275)	total: 1.23s	remaining: 3.23s
276:	test: 0.9476793	best: 0.9476794 (275)	total: 1.23s	remaining: 3.22s
277:	test: 0.9476793	best: 0.9476794 (275)	total: 1.24s	remaining: 3.21s
278:	test: 0.9476793	best: 0.9476794 (275)	total: 1.24s	remaining: 3.21s
279:	test: 0.9476793	best: 0.9476794 (275)	total: 1.25s	remaining: 3.2s
280:	test: 0.9476794	best: 0.9476794 (275)	total: 1.25s	remaining: 3.2s
281:	test: 0.9476793	best: 0.9476794 (275)	total: 1.25s	remaining: 3.19s
282:	test: 0.9476794	best: 0.9476794 (275)	total: 1.26s	remaining: 3.19s
283:	test: 0.9476794	best: 0.9476794 (283)	total: 1.26s	remaining: 3.18s
284:	test: 0.9476795	best: 0.9476795 (284)	total: 1.27s	remaining: 3.18s
285:	test: 0.9476795	best: 0.9476795 (284)	total: 1.27s	remaining: 3.17s
286:	test: 0.9476791	best: 0.9476795 (284)	total: 1.27s	remaining: 3.17s
287:	test: 0.9476791	best: 0.9476795 (284)	total: 1.28s	remaining: 3.16s
288:	test: 0.9476791	best: 0.9476795 (284)	total: 1.28s	remaining: 3.15s
289:	test: 0.9476791	best: 0.9476795 (284)	total: 1.28s	remaining: 3.15s
290:	test: 0.9476791	best: 0.9476795 (284)	total: 1.29s	remaining: 3.14s
291:	test: 0.9476791	best: 0.9476795 (284)	total: 1.29s	remaining: 3.14s
292:	test: 0.9476791	best: 0.9476795 (284)	total: 1.3s	remaining: 3.13s
293:	test: 0.9476791	best: 0.9476795 (284)	total: 1.3s	remaining: 3.13s
294:	test: 0.9476792	best: 0.9476795 (284)	total: 1.31s	remaining: 3.12s
295:	test: 0.9476793	best: 0.9476795 (284)	total: 1.31s	remaining: 3.12s
296:	test: 0.9476792	best: 0.9476795 (284)	total: 1.31s	remaining: 3.11s
297:	test: 0.9476733	best: 0.9476795 (284)	total: 1.32s	remaining: 3.1s
298:	test: 0.9476769	best: 0.9476795 (284)	total: 1.32s	remaining: 3.1s
299:	test: 0.9476767	best: 0.9476795 (284)	total: 1.33s	remaining: 3.09s
300:	test: 0.9476767	best: 0.9476795 (284)	total: 1.33s	remaining: 3.09s
301:	test: 0.9476767	best: 0.9476795 (284)	total: 1.33s	remaining: 3.08s
[34m[1mwandb[39m[22m: Adding directory to artifact (./artifacts)... Done. 0.1s
302:	test: 0.9476797	best: 0.9476797 (302)	total: 1.34s	remaining: 3.08s
303:	test: 0.9476747	best: 0.9476797 (302)	total: 1.34s	remaining: 3.07s
304:	test: 0.9476748	best: 0.9476797 (302)	total: 1.35s	remaining: 3.07s
305:	test: 0.9476748	best: 0.9476797 (302)	total: 1.35s	remaining: 3.06s
306:	test: 0.9476747	best: 0.9476797 (302)	total: 1.35s	remaining: 3.06s
307:	test: 0.9476735	best: 0.9476797 (302)	total: 1.36s	remaining: 3.05s
308:	test: 0.9476735	best: 0.9476797 (302)	total: 1.36s	remaining: 3.05s
309:	test: 0.9476735	best: 0.9476797 (302)	total: 1.37s	remaining: 3.04s
310:	test: 0.9476735	best: 0.9476797 (302)	total: 1.37s	remaining: 3.03s
311:	test: 0.9476773	best: 0.9476797 (302)	total: 1.37s	remaining: 3.03s
312:	test: 0.9476774	best: 0.9476797 (302)	total: 1.38s	remaining: 3.02s
313:	test: 0.9476773	best: 0.9476797 (302)	total: 1.38s	remaining: 3.02s
314:	test: 0.9476773	best: 0.9476797 (302)	total: 1.38s	remaining: 3.01s
315:	test: 0.9476774	best: 0.9476797 (302)	total: 1.39s	remaining: 3s
316:	test: 0.9476773	best: 0.9476797 (302)	total: 1.39s	remaining: 3s
317:	test: 0.9476774	best: 0.9476797 (302)	total: 1.39s	remaining: 2.99s
318:	test: 0.9476773	best: 0.9476797 (302)	total: 1.4s	remaining: 2.98s
319:	test: 0.9476774	best: 0.9476797 (302)	total: 1.4s	remaining: 2.98s
320:	test: 0.9476774	best: 0.9476797 (302)	total: 1.4s	remaining: 2.97s
321:	test: 0.9476772	best: 0.9476797 (302)	total: 1.41s	remaining: 2.96s
322:	test: 0.9476772	best: 0.9476797 (302)	total: 1.41s	remaining: 2.96s
Stopped by overfitting detector  (20 iterations wait)
bestTest = 0.9476796969
bestIteration = 302
Shrink model to first 303 iterations.
